requirement_id,domain,priority,requirement,acceptance_criteria,version
P16-REQ-001,GIS Core,Must,"GrounUp shall provide governed gis core capability 1 with tenant/project scope, spatial reference metadata, source lineage, accuracy/quality evidence, permissions and auditable processing history.","Verify requirement 1 using controlled spatial data, coordinate/reference metadata, source evidence, applicable QA checks, authorization boundaries and mapped test evidence.",v1.0.0
P16-REQ-002,Coordinate Reference Systems,Must,"GrounUp shall provide governed coordinate reference systems capability 2 with tenant/project scope, spatial reference metadata, source lineage, accuracy/quality evidence, permissions and auditable processing history.","Verify requirement 2 using controlled spatial data, coordinate/reference metadata, source evidence, applicable QA checks, authorization boundaries and mapped test evidence.",v1.0.0
P16-REQ-003,Survey Control,Must,"GrounUp shall provide governed survey control capability 3 with tenant/project scope, spatial reference metadata, source lineage, accuracy/quality evidence, permissions and auditable processing history.","Verify requirement 3 using controlled spatial data, coordinate/reference metadata, source evidence, applicable QA checks, authorization boundaries and mapped test evidence.",v1.0.0
P16-REQ-004,GNSS Survey,Must,"GrounUp shall provide governed gnss survey capability 4 with tenant/project scope, spatial reference metadata, source lineage, accuracy/quality evidence, permissions and auditable processing history.","Verify requirement 4 using controlled spatial data, coordinate/reference metadata, source evidence, applicable QA checks, authorization boundaries and mapped test evidence.",v1.0.0
P16-REQ-005,Total Station Survey,Must,"GrounUp shall provide governed total station survey capability 5 with tenant/project scope, spatial reference metadata, source lineage, accuracy/quality evidence, permissions and auditable processing history.","Verify requirement 5 using controlled spatial data, coordinate/reference metadata, source evidence, applicable QA checks, authorization boundaries and mapped test evidence.",v1.0.0
P16-REQ-006,Digital Levels,Must,"GrounUp shall provide governed digital levels capability 6 with tenant/project scope, spatial reference metadata, source lineage, accuracy/quality evidence, permissions and auditable processing history.","Verify requirement 6 using controlled spatial data, coordinate/reference metadata, source evidence, applicable QA checks, authorization boundaries and mapped test evidence.",v1.0.0
P16-REQ-007,Construction Layout,Must,"GrounUp shall provide governed construction layout capability 7 with tenant/project scope, spatial reference metadata, source lineage, accuracy/quality evidence, permissions and auditable processing history.","Verify requirement 7 using controlled spatial data, coordinate/reference metadata, source evidence, applicable QA checks, authorization boundaries and mapped test evidence.",v1.0.0
P16-REQ-008,Topographic Survey,Must,"GrounUp shall provide governed topographic survey capability 8 with tenant/project scope, spatial reference metadata, source lineage, accuracy/quality evidence, permissions and auditable processing history.","Verify requirement 8 using controlled spatial data, coordinate/reference metadata, source evidence, applicable QA checks, authorization boundaries and mapped test evidence.",v1.0.0
P16-REQ-009,Existing Conditions,Must,"GrounUp shall provide governed existing conditions capability 9 with tenant/project scope, spatial reference metadata, source lineage, accuracy/quality evidence, permissions and auditable processing history.","Verify requirement 9 using controlled spatial data, coordinate/reference metadata, source evidence, applicable QA checks, authorization boundaries and mapped test evidence.",v1.0.0
P16-REQ-010,Drone Operations,Must,"GrounUp shall provide governed drone operations capability 10 with tenant/project scope, spatial reference metadata, source lineage, accuracy/quality evidence, permissions and auditable processing history.","Verify requirement 10 using controlled spatial data, coordinate/reference metadata, source evidence, applicable QA checks, authorization boundaries and mapped test evidence.",v1.0.0
