requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P25-REQ-001,Master Library Registry,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-002,Service Catalog,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-003,Service Categories,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-004,Units of Measure,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-005,Labor Resource Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-006,Crew Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-007,Equipment Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-008,Truck Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-009,Material Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-010,Subcontract Resource Library,not_verified,not_built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,"There is no subcontractor library. Vendors exist as business records, and subcontract enters an estimate as a cost bucket, but nothing catalogs subcontract resources for reuse."
P25-REQ-011,Disposal Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-012,Assembly Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-013,Assembly Components,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-014,Production Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-015,Equipment Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
P25-REQ-016,Labor Rate Library,verified,built,,identifiers; tenant scope; effective dates; source/provenance; approval state; version behavior; dependency integrity; mapped tests,
