requirement_id,test_id,engine_id,api_id,ui_id,status
P19-REQ-001,P19-TST-001,P19-ENG-001,P19-API-001,P19-UI-001,Mapped
P19-REQ-002,P19-TST-002,P19-ENG-002,P19-API-002,P19-UI-002,Mapped
P19-REQ-003,P19-TST-003,P19-ENG-003,P19-API-003,P19-UI-003,Mapped
P19-REQ-004,P19-TST-004,P19-ENG-004,P19-API-004,P19-UI-004,Mapped
P19-REQ-005,P19-TST-005,P19-ENG-005,P19-API-005,P19-UI-005,Mapped
P19-REQ-006,P19-TST-006,P19-ENG-006,P19-API-006,P19-UI-006,Mapped
P19-REQ-007,P19-TST-007,P19-ENG-007,P19-API-007,P19-UI-007,Mapped
P19-REQ-008,P19-TST-008,P19-ENG-008,P19-API-008,P19-UI-008,Mapped
P19-REQ-009,P19-TST-009,P19-ENG-009,P19-API-009,P19-UI-009,Mapped
P19-REQ-010,P19-TST-010,P19-ENG-010,P19-API-010,P19-UI-010,Mapped
P19-REQ-011,P19-TST-011,P19-ENG-011,P19-API-011,P19-UI-011,Mapped
P19-REQ-012,P19-TST-012,P19-ENG-012,P19-API-012,P19-UI-012,Mapped
P19-REQ-013,P19-TST-013,P19-ENG-013,P19-API-013,P19-UI-013,Mapped
P19-REQ-014,P19-TST-014,P19-ENG-014,P19-API-014,P19-UI-014,Mapped
P19-REQ-015,P19-TST-015,P19-ENG-015,P19-API-015,P19-UI-015,Mapped
P19-REQ-016,P19-TST-016,P19-ENG-016,P19-API-016,P19-UI-016,Mapped
P19-REQ-017,P19-TST-017,P19-ENG-017,P19-API-017,P19-UI-017,Mapped
P19-REQ-018,P19-TST-018,P19-ENG-018,P19-API-018,P19-UI-018,Mapped
P19-REQ-019,P19-TST-019,P19-ENG-019,P19-API-019,P19-UI-019,Mapped
P19-REQ-020,P19-TST-020,P19-ENG-020,P19-API-020,P19-UI-020,Mapped
P19-REQ-021,P19-TST-021,P19-ENG-021,P19-API-021,P19-UI-021,Mapped
P19-REQ-022,P19-TST-022,P19-ENG-022,P19-API-022,P19-UI-022,Mapped
P19-REQ-023,P19-TST-023,P19-ENG-023,P19-API-023,P19-UI-023,Mapped
P19-REQ-024,P19-TST-024,P19-ENG-024,P19-API-024,P19-UI-024,Mapped
P19-REQ-025,P19-TST-025,P19-ENG-025,P19-API-025,P19-UI-025,Mapped
P19-REQ-026,P19-TST-026,P19-ENG-026,P19-API-026,P19-UI-026,Mapped
P19-REQ-027,P19-TST-027,P19-ENG-027,P19-API-027,P19-UI-027,Mapped
P19-REQ-028,P19-TST-028,P19-ENG-028,P19-API-028,P19-UI-028,Mapped
P19-REQ-029,P19-TST-029,P19-ENG-029,P19-API-029,P19-UI-029,Mapped
P19-REQ-030,P19-TST-030,P19-ENG-030,P19-API-030,P19-UI-030,Mapped
P19-REQ-031,P19-TST-031,P19-ENG-031,P19-API-031,P19-UI-031,Mapped
P19-REQ-032,P19-TST-032,P19-ENG-032,P19-API-032,P19-UI-032,Mapped
P19-REQ-033,P19-TST-033,P19-ENG-033,P19-API-033,P19-UI-033,Mapped
P19-REQ-034,P19-TST-034,P19-ENG-034,P19-API-034,P19-UI-034,Mapped
P19-REQ-035,P19-TST-035,P19-ENG-035,P19-API-035,P19-UI-035,Mapped
P19-REQ-036,P19-TST-036,P19-ENG-036,P19-API-036,P19-UI-036,Mapped
P19-REQ-037,P19-TST-037,P19-ENG-037,P19-API-037,P19-UI-037,Mapped
P19-REQ-038,P19-TST-038,P19-ENG-038,P19-API-038,P19-UI-038,Mapped
P19-REQ-039,P19-TST-039,P19-ENG-039,P19-API-039,P19-UI-039,Mapped
P19-REQ-040,P19-TST-040,P19-ENG-040,P19-API-040,P19-UI-040,Mapped
P19-REQ-041,P19-TST-041,P19-ENG-041,P19-API-041,P19-UI-041,Mapped
P19-REQ-042,P19-TST-042,P19-ENG-042,P19-API-042,P19-UI-042,Mapped
P19-REQ-043,P19-TST-043,P19-ENG-043,P19-API-043,P19-UI-043,Mapped
P19-REQ-044,P19-TST-044,P19-ENG-044,P19-API-044,P19-UI-044,Mapped
P19-REQ-045,P19-TST-045,P19-ENG-045,P19-API-045,P19-UI-045,Mapped
P19-REQ-046,P19-TST-046,P19-ENG-046,P19-API-046,P19-UI-046,Mapped
P19-REQ-047,P19-TST-047,P19-ENG-047,P19-API-047,P19-UI-047,Mapped
P19-REQ-048,P19-TST-048,P19-ENG-048,P19-API-048,P19-UI-048,Mapped
P19-REQ-049,P19-TST-049,P19-ENG-049,P19-API-049,P19-UI-049,Mapped
P19-REQ-050,P19-TST-050,P19-ENG-050,P19-API-050,P19-UI-001,Mapped
P19-REQ-051,P19-TST-051,P19-ENG-051,P19-API-051,P19-UI-002,Mapped
P19-REQ-052,P19-TST-052,P19-ENG-052,P19-API-052,P19-UI-003,Mapped
P19-REQ-053,P19-TST-053,P19-ENG-053,P19-API-053,P19-UI-004,Mapped
P19-REQ-054,P19-TST-054,P19-ENG-001,P19-API-054,P19-UI-005,Mapped
