Engine ID,Engine,Purpose,Inputs,Outputs,Controls
ENG-P10-01,Financial Posting Engine,Provides governed financial posting engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-02,Chart of Accounts & Dimension Engine,Provides governed chart of accounts & dimension engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-03,Fiscal Period Control Engine,Provides governed fiscal period control engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-04,Journal & Allocation Engine,Provides governed journal & allocation engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-05,Intercompany Engine,Provides governed intercompany engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-06,Consolidation Engine,Provides governed consolidation engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-07,Accounts Payable Engine,Provides governed accounts payable engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-08,Invoice Matching Engine,Provides governed invoice matching engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-09,Payment Orchestration Engine,Provides governed payment orchestration engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-10,Accounts Receivable Engine,Provides governed accounts receivable engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-11,Construction Billing Engine,Provides governed construction billing engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-12,Cash Application Engine,Provides governed cash application engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-13,Job Cost Engine,Provides governed job cost engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-14,Commitment Control Engine,Provides governed commitment control engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-15,Forecast & EAC Engine,Provides governed forecast & eac engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-16,WIP & Revenue Recognition Engine,Provides governed wip & revenue recognition engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-17,Payroll Accounting Engine,Provides governed payroll accounting engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-18,Cash & Treasury Engine,Provides governed cash & treasury engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-19,Bank Reconciliation Engine,Provides governed bank reconciliation engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-20,Fixed Asset Engine,Provides governed fixed asset engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-21,Tax Determination Engine,Provides governed tax determination engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-22,Financial Digital Twin Engine,Provides governed financial digital twin engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-23,AI Coding & Anomaly Engine,Provides governed ai coding & anomaly engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-24,Financial Reporting & Narrative Engine,Provides governed financial reporting & narrative engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
ENG-P10-25,Integration & Reconciliation Engine,Provides governed integration & reconciliation engine services.,"Configured rules, master data, operational transactions","Financial transactions, exceptions, forecasts, audit events",Idempotent; tenant-scoped; observable; approval-aware
