api_id,method,path,resource,security,control
P15-API-001,GET/POST,/api/v1/information/documents,documents,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-002,GET/POST,/api/v1/information/document-revisions,document-revisions,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-003,GET/POST,/api/v1/information/document-sets,document-sets,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-004,GET/POST,/api/v1/information/drawings,drawings,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-005,GET/POST,/api/v1/information/drawing-sets,drawing-sets,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-006,GET/POST,/api/v1/information/specifications,specifications,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-007,GET/POST,/api/v1/information/addenda,addenda,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-008,GET/POST,/api/v1/information/submittals,submittals,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-009,GET/POST,/api/v1/information/submittal-reviews,submittal-reviews,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-010,GET/POST,/api/v1/information/rfis,rfis,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-011,GET/POST,/api/v1/information/rfi-responses,rfi-responses,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-012,GET/POST,/api/v1/information/transmittals,transmittals,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-013,GET/POST,/api/v1/information/distribution,distribution,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-014,GET/POST,/api/v1/information/correspondence,correspondence,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-015,GET/POST,/api/v1/information/meeting-records,meeting-records,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-016,GET/POST,/api/v1/information/decisions,decisions,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-017,GET/POST,/api/v1/information/markups,markups,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-018,GET/POST,/api/v1/information/review-sessions,review-sessions,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-019,GET/POST,/api/v1/information/approvals,approvals,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-020,GET/POST,/api/v1/information/issues,issues,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-021,GET/POST,/api/v1/information/ocr,ocr,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-022,GET/POST,/api/v1/information/extractions,extractions,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-023,GET/POST,/api/v1/information/metadata,metadata,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-024,GET/POST,/api/v1/information/search,search,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-025,GET/POST,/api/v1/information/saved-searches,saved-searches,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-026,GET/POST,/api/v1/information/permissions,permissions,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-027,GET/POST,/api/v1/information/external-shares,external-shares,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-028,GET/POST,/api/v1/information/controlled-copies,controlled-copies,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-029,GET/POST,/api/v1/information/retention,retention,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-030,GET/POST,/api/v1/information/legal-holds,legal-holds,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-031,GET/POST,/api/v1/information/disposition,disposition,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-032,GET/POST,/api/v1/information/field-document-sets,field-document-sets,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-033,GET/POST,/api/v1/information/offline-packages,offline-packages,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-034,GET/POST,/api/v1/information/bim-references,bim-references,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-035,GET/POST,/api/v1/information/coordination,coordination,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-036,GET/POST,/api/v1/information/as-builts,as-builts,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-037,GET/POST,/api/v1/information/om-manuals,om-manuals,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-038,GET/POST,/api/v1/information/warranties,warranties,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-039,GET/POST,/api/v1/information/turnover-packages,turnover-packages,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-040,GET/POST,/api/v1/information/owner-acceptance,owner-acceptance,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-041,GET/POST,/api/v1/information/conflicts,conflicts,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
P15-API-042,GET/POST,/api/v1/information/cross-references,cross-references,OAuth2/JWT + RBAC/ABAC,Tenant/project scoped; permission and revision-aware; audited
