phase,phase_title,api_id,method,path,resource,security,control
01,Governance,API-P01-001,GET,/v1/tenants/{tenantId},,,
01,Governance,API-P01-002,POST,/v1/tenants,,,
01,Governance,API-P01-003,GET,/v1/organization-units,,,
01,Governance,API-P01-004,POST,/v1/users/invitations,,,
01,Governance,API-P01-005,POST,/v1/role-assignments,,,
01,Governance,API-P01-006,DELETE,/v1/role-assignments/{id},,,
01,Governance,API-P01-007,GET,/v1/effective-permissions,,,
01,Governance,API-P01-008,POST,/v1/policies/{policyId}/versions,,,
01,Governance,API-P01-009,POST,/v1/approval-requests,,,
01,Governance,API-P01-010,POST,/v1/approval-requests/{id}/decisions,,,
01,Governance,API-P01-011,POST,/v1/delegations,,,
01,Governance,API-P01-012,GET,/v1/audit-events,,,
01,Governance,API-P01-013,POST,/v1/legal-holds,,,
01,Governance,API-P01-014,POST,/v1/change-requests,,,
01,Governance,API-P01-015,POST,/v1/emergency-access,,,
01,Governance,API-P01-016,POST,/v1/ai-governance/proposals,,,
02,Core Platform,API-P02-001,POST,/v1/auth/sessions,,,
02,Core Platform,API-P02-002,DELETE,/v1/auth/sessions/{sessionId},,,
02,Core Platform,API-P02-003,POST,/v1/authorization/decisions,,,
02,Core Platform,API-P02-004,POST,/v1/files/uploads,,,
02,Core Platform,API-P02-005,POST,/v1/files/uploads/{uploadId}/complete,,,
02,Core Platform,API-P02-006,GET,/v1/search,,,
02,Core Platform,API-P02-007,POST,/v1/notifications,,,
02,Core Platform,API-P02-008,POST,/v1/schedules,,,
02,Core Platform,API-P02-009,POST,/v1/jobs,,,
02,Core Platform,API-P02-010,GET,/v1/jobs/{jobId},,,
02,Core Platform,API-P02-011,POST,/v1/workflows/{definitionKey}/instances,,,
02,Core Platform,API-P02-012,POST,/v1/rules/{ruleKey}/evaluate,,,
02,Core Platform,API-P02-013,POST,/v1/webhook-subscriptions,,,
02,Core Platform,API-P02-014,POST,/v1/connectors,,,
02,Core Platform,API-P02-015,POST,/v1/imports,,,
02,Core Platform,API-P02-016,POST,/v1/exports,,,
02,Core Platform,API-P02-017,POST,/v1/mobile/offline-packs,,,
02,Core Platform,API-P02-018,POST,/v1/mobile/sync,,,
02,Core Platform,API-P02-019,POST,/v1/feature-flags,,,
02,Core Platform,API-P02-020,GET,/v1/platform/health,,,
02,Core Platform,API-P02-021,POST,/v1/ai/executions,,,
02,Core Platform,API-P02-022,POST,/v1/ai/tools/{toolKey}/invoke,,,
03,Enterprise Data Model,API-P03-001,GET,/v1/data-model/entities,,,
03,Enterprise Data Model,API-P03-002,GET,/v1/data-model/entities/{entityKey},,,
03,Enterprise Data Model,API-P03-003,GET,/v1/data-model/reference-sets,,,
03,Enterprise Data Model,API-P03-004,POST,/v1/data-model/reference-sets,,,
03,Enterprise Data Model,API-P03-005,POST,/v1/master-data/parties,,,
03,Enterprise Data Model,API-P03-006,POST,/v1/master-data/parties/{partyId}/merge,,,
03,Enterprise Data Model,API-P03-007,POST,/v1/data-quality/evaluations,,,
03,Enterprise Data Model,API-P03-008,GET,/v1/data-quality/exceptions,,,
03,Enterprise Data Model,API-P03-009,POST,/v1/imports/{importId}/commit,,,
03,Enterprise Data Model,API-P03-010,POST,/v1/exports,,,
03,Enterprise Data Model,API-P03-011,GET,/v1/lineage/{entityType}/{entityId},,,
03,Enterprise Data Model,API-P03-012,POST,/v1/ai-writebacks/{writebackId}/commit,,,
04,Master Library Registry,,GET,/v1/libraries,,,
04,Master Library Registry,,POST,/v1/libraries,,,
04,Master Library Registry,,GET,/v1/libraries/{libraryId},,,
04,Master Library Registry,,PATCH,/v1/libraries/{libraryId},,,
04,Master Library Registry,,GET,/v1/libraries/{libraryId}/items,,,
04,Master Library Registry,,POST,/v1/libraries/{libraryId}/items,,,
04,Master Library Registry,,GET,/v1/library-items/{itemId},,,
04,Master Library Registry,,PATCH,/v1/library-items/{itemId},,,
04,Master Library Registry,,POST,/v1/library-items/{itemId}/submit,,,
04,Master Library Registry,,POST,/v1/library-items/{itemId}/approve,,,
04,Master Library Registry,,POST,/v1/library-items/{itemId}/reject,,,
04,Master Library Registry,,POST,/v1/library-items/{itemId}/publish,,,
04,Master Library Registry,,POST,/v1/library-items/{itemId}/supersede,,,
04,Master Library Registry,,POST,/v1/library-items/{itemId}/deprecate,,,
04,Master Library Registry,,POST,/v1/library-items/{itemId}/rollback,,,
04,Master Library Registry,,POST,/v1/library-imports,,,
04,Master Library Registry,,GET,/v1/library-imports/{importId},,,
04,Master Library Registry,,POST,/v1/library-imports/{importId}/validate,,,
04,Master Library Registry,,POST,/v1/library-imports/{importId}/publish,,,
04,Master Library Registry,,GET,/v1/library-search,,,
04,Master Library Registry,,POST,/v1/library-resolve,,,
04,Master Library Registry,,GET,/v1/library-items/{itemId}/history,,,
04,Master Library Registry,,GET,/v1/library-items/{itemId}/impact,,,
04,Master Library Registry,,POST,/v1/library-items/{itemId}/clone,,,
05,Estimating Cost Intelligence,GES-P05-API-001,POST,/v1/estimates,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-002,GET,/v1/estimates/{id},,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-003,POST,/v1/estimates/{id}/versions,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-004,POST,/v1/estimates/{id}/calculate,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-005,POST,/v1/estimates/{id}/validate,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-006,POST,/v1/estimates/{id}/submit,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-007,POST,/v1/estimates/{id}/approve,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-008,POST,/v1/estimates/{id}/scenarios,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-009,POST,/v1/takeoff/documents,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-010,POST,/v1/takeoff/measurements,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-011,POST,/v1/takeoff/revision-comparisons,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-012,GET,/v1/assemblies,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-013,POST,/v1/production/calculate,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-014,POST,/v1/haul/calculate,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-015,POST,/v1/risk/simulations,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-016,GET,/v1/calculations/{trace_id},,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-017,POST,/v1/ai/recommendations/{id}/disposition,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-018,GET,/v1/configuration/tenant,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-019,PUT,/v1/configuration/white-label,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-020,POST,/v1/actuals,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-021,POST,/v1/calibration/proposals,,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-022,GET,/v1/reports/estimate-review/{id},,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-023,POST,/v1/exports/estimate/{id},,OAuth2/JWT,
05,Estimating Cost Intelligence,GES-P05-API-024,POST,/v1/webhooks,,OAuth2/JWT,
06,AI Construction Intelligence,,POST,/v1/ai/tasks,,,
06,AI Construction Intelligence,,GET,/v1/ai/tasks/{taskId},,,
06,AI Construction Intelligence,,POST,/v1/ai/tasks/{taskId}/approve,,,
06,AI Construction Intelligence,,POST,/v1/ai/tasks/{taskId}/reject,,,
06,AI Construction Intelligence,,POST,/v1/ai/conversations,,,
06,AI Construction Intelligence,,POST,/v1/ai/conversations/{id}/messages,,,
06,AI Construction Intelligence,,GET,/v1/ai/agents,,,
06,AI Construction Intelligence,,POST,/v1/ai/agents,,,
06,AI Construction Intelligence,,POST,/v1/ai/agents/{id}/deploy,,,
06,AI Construction Intelligence,,POST,/v1/ai/prompts/{id}/evaluate,,,
06,AI Construction Intelligence,,POST,/v1/ai/knowledge/ingest,,,
06,AI Construction Intelligence,,GET,/v1/ai/knowledge/search,,,
06,AI Construction Intelligence,,POST,/v1/ai/feedback,,,
06,AI Construction Intelligence,,GET,/v1/ai/usage,,,
06,AI Construction Intelligence,,GET,/v1/ai/audit,,,
06,AI Construction Intelligence,,POST,/v1/ai/incidents,,,
06,AI Construction Intelligence,,POST,/v1/ai/incidents/{id}/contain,,,
06,AI Construction Intelligence,,GET,/v1/ai/evaluations,,,
06,AI Construction Intelligence,,POST,/v1/ai/marketplace/packages,,,
06,AI Construction Intelligence,,GET,/v1/ai/marketplace/packages,,,
