api_id,method,path,purpose,security,control
P29-API-001,GET,/api/v1/analytics/catalog,Search analytics catalog,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-002,GET,/api/v1/analytics/datasets,List permitted datasets,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-003,GET,/api/v1/analytics/datasets/{id},Read dataset metadata,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-004,POST,/api/v1/analytics/pipelines,Create pipeline definition,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-005,POST,/api/v1/analytics/pipelines/{id}/run,Run authorized pipeline,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-006,GET,/api/v1/analytics/pipelines/{id}/runs,List pipeline runs,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-007,POST,/api/v1/analytics/quality/run,Run data-quality checks,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-008,GET,/api/v1/analytics/quality/results,Query data-quality results,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-009,POST,/api/v1/analytics/reconciliation/run,Run reconciliation,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-010,GET,/api/v1/analytics/lineage,Query lineage graph,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-011,GET,/api/v1/analytics/metrics,List certified metrics,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-012,GET,/api/v1/analytics/metrics/{id},Read metric definition/version,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-013,POST,/api/v1/analytics/query,Execute semantic query,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-014,GET,/api/v1/analytics/reports,List reports,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-015,POST,/api/v1/analytics/reports/{id}/run,Execute report,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-016,GET,/api/v1/analytics/dashboards,List dashboards,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-017,POST,/api/v1/analytics/subscriptions,Create report/dashboard subscription,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-018,POST,/api/v1/analytics/exports,Create controlled export,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-019,POST,/api/v1/analytics/forecasts,Run forecast,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-020,POST,/api/v1/analytics/scenarios,Run analytical scenario,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-021,GET,/api/v1/analytics/benchmarks,Query benchmark sets/results,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-022,GET,/api/v1/analytics/features,List permitted AI-ready features,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-023,POST,/api/v1/analytics/features/snapshots,Create feature snapshot,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-024,GET,/api/v1/analytics/embeddings,Query embedding metadata,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-025,GET,/api/v1/analytics/incidents,List analytics incidents,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
P29-API-026,GET,/api/v1/analytics/observability,Read analytics health/freshness/performance,Authenticated; tenant/row/column policy; certified semantic access where applicable,Queries/exports retain metric/model/version/freshness/audit metadata
