Workflow_ID,Name,Actors,States,Trigger,Core_Steps,Output,Priority
WF-P01-001,Tenant Provisioning,Platform Admin; Tenant Owner,Requested; Validating; Provisioning; Verification; Active; Failed,Provisioning request,"Validate template, region, entitlements, owner, defaults; create tenant; run checks",Active tenant or remediation case,Critical
WF-P01-002,User Invitation and Activation,Admin; Invited User; Identity Provider,Draft; Sent; Accepted; Verified; Active; Expired; Cancelled,User invitation,Validate email and scope; send invitation; authenticate; accept terms; assign baseline access,Active governed identity,Critical
WF-P01-003,Role and Permission Change,Requester; Security Admin; Approver,Draft; Submitted; Risk Review; Approved; Applied; Rejected; Revoked,Access request,"Evaluate requested permissions, conflicts, scope, duration, approval, and audit",Updated role assignment,Critical
WF-P01-004,Policy Publication,Policy Owner; Reviewer; Approver; Affected User,Draft; Review; Approved; Scheduled; Active; Superseded; Retired,Policy version prepared,"Validate content, scope, dates, overlaps, approvals, publication, acknowledgment",Active policy version,High
WF-P01-005,Approval Request,Requester; Routing Engine; Approver,Draft; Pending; In Review; Approved; Rejected; Cancelled; Expired,Governed action submitted,Resolve policy and approvers; enforce independence and delegation; record immutable decision,Authorized or rejected action,Critical
WF-P01-006,Delegation,Delegator; Delegate; Approver,Draft; Submitted; Approved; Active; Expired; Revoked,Delegation request,"Validate authority boundary, scope, duration, conflicts, and notice",Active bounded delegation,High
WF-P01-007,Emergency Access,Requester; Security Approver; Reviewer,Requested; Approved; Active; Expired; Revoked; Under Review; Closed,Break-glass request,Capture justification; approve; elevate; log; notify; auto-expire; conduct review,Closed emergency access case,Critical
WF-P01-008,Change Control,Author; Impact Reviewers; Change Control Board,Draft; Submitted; Impact Review; Approved; Rejected; Implementing; Verified; Closed,Change request,"Assess business, data, security, AI, integration, migration, rollback, testing, and downstream impact",Controlled successor version,Critical
WF-P01-009,Retention and Disposition,Records Manager; System; Legal Reviewer,Scheduled; Eligible; Hold Check; Approved; Disposed; Suppressed,Retention trigger reached,"Evaluate schedule, holds, investigations, approvals; execute disposition; record evidence",Disposed record or hold exception,Critical
WF-P01-010,AI Governance Proposal,User/Agent; Reviewer; Approver,Generated; Evidence Check; Submitted; Review; Approved; Rejected; Applied,AI proposes governed change,"Validate permission, evidence, confidence, target diff, policy, approval, writeback, audit",Approved writeback or rejected proposal,Critical
