entity_id,name,domain,definition,key,governance
P16-ENT-001,Map,GIS Core,Canonical geospatial/survey/reality-capture entity for Map.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-002,MapLayer,Coordinate Reference Systems,Canonical geospatial/survey/reality-capture entity for MapLayer.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-003,LayerGroup,Survey Control,Canonical geospatial/survey/reality-capture entity for LayerGroup.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-004,FeatureClass,GNSS Survey,Canonical geospatial/survey/reality-capture entity for FeatureClass.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-005,Feature,Total Station Survey,Canonical geospatial/survey/reality-capture entity for Feature.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-006,FeatureAttribute,Digital Levels,Canonical geospatial/survey/reality-capture entity for FeatureAttribute.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-007,Geometry,Construction Layout,Canonical geospatial/survey/reality-capture entity for Geometry.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-008,PointGeometry,Topographic Survey,Canonical geospatial/survey/reality-capture entity for PointGeometry.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-009,LineGeometry,Existing Conditions,Canonical geospatial/survey/reality-capture entity for LineGeometry.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-010,PolygonGeometry,Drone Operations,Canonical geospatial/survey/reality-capture entity for PolygonGeometry.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-011,RasterLayer,Photogrammetry,Canonical geospatial/survey/reality-capture entity for RasterLayer.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-012,VectorTile,LiDAR Reality Capture,Canonical geospatial/survey/reality-capture entity for VectorTile.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
P16-ENT-013,RasterTile,Point Cloud Management,Canonical geospatial/survey/reality-capture entity for RasterTile.,tenant_id + record_id,Spatial-reference aware; source-lineage retained; audited; project scoped
