Report ID,Report Name,Domain,Audience,Outputs,Filters,Controls
P12-RPT-01,Fleet Inventory,Fleet Registry,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-02,Asset Availability,Asset Lifecycle,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-03,Utilization by Asset and Project,Preventive Maintenance,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-04,Maintenance Due,Corrective Maintenance,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-05,Work Order Backlog,Inspections,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-06,Maintenance Cost,Telematics & IoT,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-07,Downtime Analysis,Fuel & Energy,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-08,Fuel Consumption and Idle,Parts & Components,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-09,Equipment Cost per Hour,Work Orders,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-10,Project Equipment Charges,Shop Operations,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-11,Warranty Recovery,Field Service,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-12,Rental Utilization and Leakage,Rental & Leased Assets,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-13,Telematics Exceptions,Compliance,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-14,Compliance Expiration,Safety & Risk,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-15,Inspection and Defect Trends,Utilization & Dispatch,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-16,Tire Cost and Wear,Equipment Costing,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-17,Undercarriage Forecast,Warranty & Claims,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-18,Replacement Forecast,Tires & Undercarriage,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-19,Asset Total Cost of Ownership,Attachments & Tools,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
P12-RPT-20,Executive Fleet Performance,Documents & Media,Operational/Management/Executive,"CSV, XLSX, PDF, API","Tenant, company, fleet class, asset, project, date, location",Role controlled; scheduled delivery; snapshot reproducibility
