workflow_id,name,domain,states,control
P19-WF-001,Contract Intake & Setup,Commercial Management Core,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-002,Contract Version/Amendment,Prime Contract Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-003,Clause Extraction & Review,Subcontract Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-004,Obligation Assignment,Purchase Contract Commercials,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-005,Obligation Deadline Monitoring,Contract Clause Registry,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-006,Notice Requirement Setup,Obligation Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-007,Notice Event Creation,Notice Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-008,Notice Review & Delivery,Potential Change Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-009,Potential Change Event,Change Order Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-010,Change Scope Review,Change Pricing,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-011,Change Pricing,T&M / Force Account,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-012,T&M Ticket Capture,Change Authorization,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-013,T&M Ticket Approval,Contract Value Control,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-014,Change Schedule Impact Review,Claims Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-015,Change Authorization,Delay & Disruption Records,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-016,Owner Change Order,Differing Site Conditions,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-017,Subcontract Change Order,Scope & Design Change,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-018,Change Directive,Payment & Billing Commercials,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-019,NTE Authorization,Retainage & Holdbacks,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-020,Change Negotiation,Backcharges & Deductions,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-021,Change Approval & Execution,Allowances & Contingencies,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-022,Change Rejection/Close,Escalation & Price Adjustment,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-023,Contract Value Reconciliation,"Insurance, Bonds & Commercial Compliance",Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-024,Claim Event Intake,Lien & Waiver Administration,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-025,Claim Chronology Build,Dispute Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-026,Claim Cost Build,Commercial Forecasting,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-027,Claim Time Build,Contract Closeout,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-028,Claim Evidence Review,AI Commercial Intelligence,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-029,Claim Position Review,Commercial Digital Twin,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-030,Claim Submission,Commercial Management Core,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-031,Claim Negotiation,Prime Contract Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-032,Claim Settlement/Disposition,Subcontract Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-033,Differing Site Condition,Purchase Contract Commercials,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-034,Design/Scope Change Trace,Contract Clause Registry,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-035,Delay/Disruption Evidence,Obligation Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-036,Acceleration Event,Notice Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-037,Payment Application,Potential Change Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-038,Retainage Management,Change Order Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-039,Backcharge,Change Pricing,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-040,Allowance/Contingency Draw,T&M / Force Account,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-041,Escalation/Price Adjustment,Change Authorization,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-042,Insurance/Bond Compliance,Contract Value Control,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-043,Lien/Waiver Administration,Claims Management,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-044,Commercial Forecast Update,Delay & Disruption Records,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-045,Dispute Escalation,Differing Site Conditions,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-046,Settlement Authority,Scope & Design Change,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-047,Final Change Reconciliation,Payment & Billing Commercials,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-048,Commercial Closeout,Retainage & Holdbacks,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-049,AI Commercial Review,Backcharges & Deductions,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-050,Commercial Digital Twin Refresh,Allowances & Contingencies,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
P19-WF-051,Commercial Audit & Archive,Escalation & Price Adjustment,Initiate > Validate > Price/Assess > Review > Authorize/Approve > Execute/Submit > Monitor > Close,"Authority, deadline, evidence, cost/schedule and segregation-of-duty gates enforced"
