Requirement ID,Entity ID,Workflow ID,Engine ID,API ID,Test Case ID,Coverage,Baseline
P12-REQ-001,P12-ENT-001,P12-WF-01,P12-ENG-01,P12-API-01,P12-TC-001,Covered,P12 v1.0.0
P12-REQ-002,P12-ENT-002,P12-WF-02,P12-ENG-02,P12-API-02,P12-TC-002,Covered,P12 v1.0.0
P12-REQ-003,P12-ENT-003,P12-WF-03,P12-ENG-03,P12-API-03,P12-TC-003,Covered,P12 v1.0.0
P12-REQ-004,P12-ENT-004,P12-WF-04,P12-ENG-04,P12-API-04,P12-TC-004,Covered,P12 v1.0.0
P12-REQ-005,P12-ENT-005,P12-WF-05,P12-ENG-05,P12-API-05,P12-TC-005,Covered,P12 v1.0.0
P12-REQ-006,P12-ENT-006,P12-WF-06,P12-ENG-06,P12-API-06,P12-TC-006,Covered,P12 v1.0.0
P12-REQ-007,P12-ENT-007,P12-WF-07,P12-ENG-07,P12-API-07,P12-TC-007,Covered,P12 v1.0.0
P12-REQ-008,P12-ENT-008,P12-WF-08,P12-ENG-08,P12-API-08,P12-TC-008,Covered,P12 v1.0.0
P12-REQ-009,P12-ENT-009,P12-WF-09,P12-ENG-09,P12-API-09,P12-TC-009,Covered,P12 v1.0.0
P12-REQ-010,P12-ENT-010,P12-WF-10,P12-ENG-10,P12-API-10,P12-TC-010,Covered,P12 v1.0.0
P12-REQ-011,P12-ENT-011,P12-WF-11,P12-ENG-11,P12-API-11,P12-TC-011,Covered,P12 v1.0.0
P12-REQ-012,P12-ENT-012,P12-WF-12,P12-ENG-12,P12-API-12,P12-TC-012,Covered,P12 v1.0.0
P12-REQ-013,P12-ENT-013,P12-WF-13,P12-ENG-13,P12-API-13,P12-TC-013,Covered,P12 v1.0.0
P12-REQ-014,P12-ENT-014,P12-WF-14,P12-ENG-14,P12-API-14,P12-TC-014,Covered,P12 v1.0.0
P12-REQ-015,P12-ENT-015,P12-WF-15,P12-ENG-15,P12-API-15,P12-TC-015,Covered,P12 v1.0.0
P12-REQ-016,P12-ENT-016,P12-WF-16,P12-ENG-16,P12-API-16,P12-TC-016,Covered,P12 v1.0.0
P12-REQ-017,P12-ENT-017,P12-WF-17,P12-ENG-17,P12-API-17,P12-TC-017,Covered,P12 v1.0.0
P12-REQ-018,P12-ENT-018,P12-WF-18,P12-ENG-18,P12-API-18,P12-TC-018,Covered,P12 v1.0.0
P12-REQ-019,P12-ENT-019,P12-WF-19,P12-ENG-19,P12-API-19,P12-TC-019,Covered,P12 v1.0.0
P12-REQ-020,P12-ENT-020,P12-WF-20,P12-ENG-20,P12-API-20,P12-TC-020,Covered,P12 v1.0.0
P12-REQ-021,P12-ENT-021,P12-WF-21,P12-ENG-21,P12-API-21,P12-TC-021,Covered,P12 v1.0.0
P12-REQ-022,P12-ENT-022,P12-WF-22,P12-ENG-22,P12-API-22,P12-TC-022,Covered,P12 v1.0.0
P12-REQ-023,P12-ENT-023,P12-WF-23,P12-ENG-23,P12-API-23,P12-TC-023,Covered,P12 v1.0.0
