rule_id,domain,name,rule,severity
P18-BR-001,Enterprise Scheduling Core,Scheduling rule 1,"Scheduling condition 1 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-002,CPM Scheduling,Scheduling rule 2,"Scheduling condition 2 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-003,Work Breakdown Structure,Scheduling rule 3,"Scheduling condition 3 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-004,Calendars & Shifts,Scheduling rule 4,"Scheduling condition 4 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-005,Resource Planning,Scheduling rule 5,"Scheduling condition 5 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-006,Resource Loading,Scheduling rule 6,"Scheduling condition 6 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-007,Resource Leveling,Scheduling rule 7,"Scheduling condition 7 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-008,Crew Planning,Scheduling rule 8,"Scheduling condition 8 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-009,Equipment Planning,Scheduling rule 9,"Scheduling condition 9 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-010,Truck & Haul Planning,Scheduling rule 10,"Scheduling condition 10 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-011,Material Planning,Scheduling rule 11,"Scheduling condition 11 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-012,Subcontractor Planning,Scheduling rule 12,"Scheduling condition 12 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-013,Look-Ahead Planning,Scheduling rule 13,"Scheduling condition 13 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-014,Last Planner & Commitments,Scheduling rule 14,"Scheduling condition 14 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-015,Pull Planning,Scheduling rule 15,"Scheduling condition 15 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-016,Milestones & Contract Dates,Scheduling rule 16,"Scheduling condition 16 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-017,Baseline Management,Scheduling rule 17,"Scheduling condition 17 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-018,Schedule Update Cycle,Scheduling rule 18,"Scheduling condition 18 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-019,Progress Measurement,Scheduling rule 19,"Scheduling condition 19 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-020,Cost & Schedule Integration,Scheduling rule 20,"Scheduling condition 20 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-021,Constraint Management,Scheduling rule 21,"Scheduling condition 21 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-022,Weather & Calendar Impacts,Scheduling rule 22,"Scheduling condition 22 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-023,Schedule Risk Analysis,Scheduling rule 23,"Scheduling condition 23 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-024,Recovery & Acceleration,Scheduling rule 24,"Scheduling condition 24 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-025,Delay & Impact Analysis,Scheduling rule 25,"Scheduling condition 25 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-026,Portfolio Capacity Planning,Scheduling rule 26,"Scheduling condition 26 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-027,What-If & Scenario Planning,Scheduling rule 27,"Scheduling condition 27 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-028,AI Schedule Intelligence,Scheduling rule 28,"Scheduling condition 28 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-029,Scheduling Digital Twin,Scheduling rule 29,"Scheduling condition 29 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-030,Enterprise Scheduling Core,Scheduling rule 30,"Scheduling condition 30 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-031,CPM Scheduling,Scheduling rule 31,"Scheduling condition 31 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-032,Work Breakdown Structure,Scheduling rule 32,"Scheduling condition 32 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-033,Calendars & Shifts,Scheduling rule 33,"Scheduling condition 33 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-034,Resource Planning,Scheduling rule 34,"Scheduling condition 34 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-035,Resource Loading,Scheduling rule 35,"Scheduling condition 35 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-036,Resource Leveling,Scheduling rule 36,"Scheduling condition 36 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-037,Crew Planning,Scheduling rule 37,"Scheduling condition 37 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-038,Equipment Planning,Scheduling rule 38,"Scheduling condition 38 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-039,Truck & Haul Planning,Scheduling rule 39,"Scheduling condition 39 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-040,Material Planning,Scheduling rule 40,"Scheduling condition 40 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-041,Subcontractor Planning,Scheduling rule 41,"Scheduling condition 41 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-042,Look-Ahead Planning,Scheduling rule 42,"Scheduling condition 42 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-043,Last Planner & Commitments,Scheduling rule 43,"Scheduling condition 43 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-044,Pull Planning,Scheduling rule 44,"Scheduling condition 44 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-045,Milestones & Contract Dates,Scheduling rule 45,"Scheduling condition 45 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-046,Baseline Management,Scheduling rule 46,"Scheduling condition 46 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-047,Schedule Update Cycle,Scheduling rule 47,"Scheduling condition 47 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-048,Progress Measurement,Scheduling rule 48,"Scheduling condition 48 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-049,Cost & Schedule Integration,Scheduling rule 49,"Scheduling condition 49 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-050,Constraint Management,Scheduling rule 50,"Scheduling condition 50 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-051,Weather & Calendar Impacts,Scheduling rule 51,"Scheduling condition 51 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-052,Schedule Risk Analysis,Scheduling rule 52,"Scheduling condition 52 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-053,Recovery & Acceleration,Scheduling rule 53,"Scheduling condition 53 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-054,Delay & Impact Analysis,Scheduling rule 54,"Scheduling condition 54 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-055,Portfolio Capacity Planning,Scheduling rule 55,"Scheduling condition 55 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-056,What-If & Scenario Planning,Scheduling rule 56,"Scheduling condition 56 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-057,AI Schedule Intelligence,Scheduling rule 57,"Scheduling condition 57 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-058,Scheduling Digital Twin,Scheduling rule 58,"Scheduling condition 58 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-059,Enterprise Scheduling Core,Scheduling rule 59,"Scheduling condition 59 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-060,CPM Scheduling,Scheduling rule 60,"Scheduling condition 60 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Blocking
P18-BR-061,Work Breakdown Structure,Scheduling rule 61,"Scheduling condition 61 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Advisory
P18-BR-062,Calendars & Shifts,Scheduling rule 62,"Scheduling condition 62 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Advisory
P18-BR-063,Resource Planning,Scheduling rule 63,"Scheduling condition 63 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Advisory
P18-BR-064,Resource Loading,Scheduling rule 64,"Scheduling condition 64 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Advisory
P18-BR-065,Resource Leveling,Scheduling rule 65,"Scheduling condition 65 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Advisory
P18-BR-066,Crew Planning,Scheduling rule 66,"Scheduling condition 66 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Advisory
P18-BR-067,Equipment Planning,Scheduling rule 67,"Scheduling condition 67 shall preserve logical relationships, approved calendars/baselines, resource constraints, update history and traceable schedule calculation evidence.",Advisory
