requirement_id,module,aspect,verification,module_exists,gap,unmet_conditions,evidence
GES-P05-REQ-001,Estimate Core,canonical model,verified,yes,,,"aspect: estimates and estimate_versions with 50+ governed columns; calculateEstimateLine and calculateEstimate return typed results. db_acceptance 'records a version number against every estimate'; engine_suites estimate.test.ts golden reference line. || tenant-specific configuration: Per-version shift hours, calendar efficiency, fuel price, swell/shrink and bid rounding are company configuration, not constants. engine_suites estimate.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculateEstimateLine returns a derivation."
GES-P05-REQ-002,Estimate Core,configurable rules,verified,yes,,,"aspect: shift_hours, calendar_efficiency, fuel_price_per_gallon, swell/shrink and bid_rounding_increment are per-version columns, and the pricing profile is passed in. engine_suites estimate.test.ts. || tenant-specific configuration: Per-version shift hours, calendar efficiency, fuel price, swell/shrink and bid rounding are company configuration, not constants. engine_suites estimate.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculateEstimateLine returns a derivation."
GES-P05-REQ-003,Estimate Core,auditability,verified,yes,,,"aspect: db_acceptance 'writes an audit entry when an estimate changes' and 'records the prior and new state', asserting the name changed from one value to the other. || tenant-specific configuration: Per-version shift hours, calendar efficiency, fuel price, swell/shrink and bid rounding are company configuration, not constants. engine_suites estimate.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculateEstimateLine returns a derivation."
GES-P05-REQ-004,Estimate Core,permissions,verified,yes,,,"aspect: db_acceptance role controls; rls estimate isolation. || tenant-specific configuration: Per-version shift hours, calendar efficiency, fuel price, swell/shrink and bid rounding are company configuration, not constants. engine_suites estimate.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculateEstimateLine returns a derivation."
GES-P05-REQ-005,Estimate Core,import/export,verified,yes,,,"aspect: exportEstimate/importEstimate with a versioned schema. portable.test.ts asserts the priced result and every derivation are identical after a round trip, that a newer schema is refused rather than partly read, and that a missing pricing profile is refused rather than defaulted. 20 tests. || tenant-specific configuration: Per-version shift hours, calendar efficiency, fuel price, swell/shrink and bid rounding are company configuration, not constants. engine_suites estimate.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculateEstimateLine returns a derivation."
GES-P05-REQ-006,Estimate Core,validation and testing,verified,yes,,,"aspect: engine_acceptance refusal cases; 302 engine tests. || tenant-specific configuration: Per-version shift hours, calendar efficiency, fuel price, swell/shrink and bid rounding are company configuration, not constants. engine_suites estimate.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: calculateEstimateLine returns a derivation."
GES-P05-REQ-007,Quantity Intelligence,canonical model,verified,yes,,,"aspect: resolveQuantity with measurement method, adjustments and waste basis; estimate_line_items persists it. engine_suites quantity.test.ts. || tenant-specific configuration: Measurement method, adjustments and waste basis are inputs. engine_suites quantity.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: resolveQuantity, convertVolume and compareSurfaces return derivations."
GES-P05-REQ-008,Quantity Intelligence,configurable rules,verified,yes,,,"aspect: Measurement method, adjustment list and waste percent are inputs, not constants. engine_suites quantity.test.ts. || tenant-specific configuration: Measurement method, adjustments and waste basis are inputs. engine_suites quantity.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: resolveQuantity, convertVolume and compareSurfaces return derivations."
GES-P05-REQ-009,Quantity Intelligence,auditability,verified,yes,,,"aspect: db_acceptance auditability, via estimate_line_items under the same ledger. || tenant-specific configuration: Measurement method, adjustments and waste basis are inputs. engine_suites quantity.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: resolveQuantity, convertVolume and compareSurfaces return derivations."
GES-P05-REQ-010,Quantity Intelligence,permissions,verified,yes,,,"aspect: db_acceptance role controls. || tenant-specific configuration: Measurement method, adjustments and waste basis are inputs. engine_suites quantity.test.ts. || role controls: db_acceptance role controls: RLS enabled and forced, one company never sees another's rows, anonymous reads nothing. || version history: db_acceptance version history: an issued estimate version is immutable (RULE-009), issuing requires an issue date, and a revision is a new version alongside it. || traceable output: engine_acceptance: resolveQuantity, convertVolume and compareSurfaces return derivations."
