requirement_id,phase,module,status,verification,mapping_method,declared_by,rules,artifacts,tests,requirement
GOV-000001,P01,Governance,traced_tested,not_verified,derived,,TR-031,TBL-companies TBL-company_memberships TBL-enterprise_groups,TST-db-rls TST-gov-registry,"The platform shall support multiple legal companies, business units, offices, departments, and projects within governed tenant boundaries."
GOV-000002,P01,Governance,untraced,not_verified,,,,,,Every tenant shall maintain a versioned organization hierarchy with effective dates and ownership.
GOV-000003,P01,Governance,traced_tested,verified,derived,,TR-032,TBL-roles TBL-user_profiles TBL-company_memberships ENG-014,TST-db-rls TST-fn-api-gateway,The platform shall authorize actions through governed roles and permissions.
GOV-000004,P01,Governance,traced_tested,not_verified,derived,,TR-032,TBL-roles TBL-user_profiles TBL-company_memberships ENG-014,TST-db-rls TST-fn-api-gateway,"Permissions shall be scopeable by tenant, company, office, department, project, record type, and owned record where applicable."
GOV-000005,P01,Governance,traced_tested,not_verified,derived,,TR-034,TBL-approval_requests,TST-db-rls TST-gov-registry,Sensitive workflows shall support incompatible-role and dual-approval controls.
GOV-000006,P01,Governance,traced_tested,verified,derived,,TR-005,ENG-006 TBL-trucking_rates TBL-disposal_sites,TST-engine-trucking,"User invitation, activation, suspension, termination, and restoration shall follow controlled lifecycle states."
GOV-000007,P01,Governance,untraced,not_verified,,,,,,"Customers, vendors, subcontractors, consultants, and partners shall be represented as restricted external identities."
GOV-000008,P01,Governance,untraced,not_verified,,,,,,"The platform shall support versioned policies with owners, effective dates, applicability, acknowledgment, and supersession."
GOV-000009,P01,Governance,untraced,not_verified,,,,,,"Enterprise, tenant, company, office, project, and user configuration shall be layered with declared precedence."
GOV-000010,P01,Governance,traced_tested,not_verified,derived,,TR-034,TBL-approval_requests,TST-db-rls TST-gov-registry,"The platform shall provide configurable approval policies based on object, amount, risk, scope, role, and condition."
GOV-000011,P01,Governance,traced_tested,not_verified,derived,,TR-034,TBL-approval_requests,TST-db-rls TST-gov-registry,Authorized users shall be able to delegate approval authority for a defined scope and time period.
GOV-000012,P01,Governance,traced_tested,not_verified,derived,,TR-033,TBL-audit_events,TST-db-rls TST-db-operations,"Material creation, access, change, approval, export, AI action, and administrative events shall be recorded in tamper-evident audit records."
GOV-000013,P01,Governance,traced_tested,not_verified,derived,,TR-003,ENG-005 TBL-crews TBL-crew_members TBL-labor_rates TBL-employees TBL-time_entries,TST-engine-resources,Records and fields shall support governed data classifications and handling requirements.
GOV-000014,P01,Governance,untraced,not_verified,,,,,,The platform shall apply retention schedules and legal holds without destroying required evidence.
GOV-000015,P01,Governance,traced_tested,verified,derived,,TR-005,ENG-006 TBL-trucking_rates TBL-disposal_sites,TST-engine-trucking,"Governed records shall use explicit lifecycle states including draft, review, approved, active, suspended, superseded, archived, and deleted where applicable."
GOV-000016,P01,Governance,untraced,verified,,supabase/migrations/0045_proposal_integrity.sql supabase/migrations/0048_machine_control_integrity.sql,,,,"Locked specifications, policies, configurations, and master data shall change only through governed change requests."
GOV-000017,P01,Governance,traced_tested,verified,derived,,TR-030,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models,TST-fn-plan-analysis TST-web-plans,AI agents shall inherit explicit data and action permissions and shall not bypass user or system authorization.
GOV-000018,P01,Governance,traced_tested,verified,derived,,TR-030 TR-034,AI-001 TBL-ai_agents TBL-ai_findings TBL-ai_prompts TBL-ai_models TBL-approval_requests,TST-fn-plan-analysis TST-web-plans TST-db-rls TST-gov-registry,AI-generated changes to governed records shall create proposals unless an approved automation policy permits a narrower action.
GOV-000019,P01,Governance,untraced,not_verified,,,,,,"Authorized administrators shall manage organizations, users, roles, permissions, policies, configuration, approvals, retention, and audit from a governed console."
GOV-000020,P01,Governance,untraced,not_verified,,,,,,"Break-glass access shall require justification, limited duration, elevated logging, notification, and post-event review."
GOV-000021,P01,Governance,traced_tested,not_verified,derived,,TR-032,TBL-roles TBL-user_profiles TBL-company_memberships ENG-014,TST-db-rls TST-fn-api-gateway,"The platform shall support session, device, location, and authentication-risk policies."
GOV-000022,P01,Governance,traced_tested,verified,derived,,TR-031,TBL-companies TBL-company_memberships TBL-enterprise_groups,TST-db-rls TST-gov-registry,"New tenants shall be provisioned from versioned templates with region, units, currency, language, industry packs, and policy defaults."
GOV-000023,P01,Governance,traced_tested,verified,derived,,TR-037,TBL-subscriptions TBL-entitlements TBL-plans TBL-plan_prices ENG-015 UI-billing,TST-fn-subscription-state,"Capabilities shall be controlled through plans, entitlements, feature flags, limits, and effective dates."
GOV-000024,P01,Governance,traced_tested,verified,derived,supabase/migrations/0043_credential_standing.sql,TR-040,TBL-notifications TBL-notification_preferences UI-notifications,TST-db-operations,"Governance events shall notify required owners, approvers, security personnel, or affected users based on policy."
