Report_ID,Report,Type,Purpose,Filters,Formats
P11-RPT-001,Procurement Commitments,Operational / Executive,Governed report for procurement commitments.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-002,Open Requisitions,Operational / Executive,Governed report for open requisitions.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-003,Open Purchase Orders,Operational / Executive,Governed report for open purchase orders.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-004,Supplier Aging and Exposure,Operational / Executive,Governed report for supplier aging and exposure.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-005,Supplier Performance Scorecard,Operational / Executive,Governed report for supplier performance scorecard.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-006,Compliance Expiration,Operational / Executive,Governed report for compliance expiration.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-007,Sourcing Savings,Operational / Executive,Governed report for sourcing savings.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-008,Bid Comparison,Operational / Executive,Governed report for bid comparison.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-009,Inventory Valuation Interface,Operational / Executive,Governed report for inventory valuation interface.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-010,Inventory On Hand,Operational / Executive,Governed report for inventory on hand.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-011,Inventory Turnover,Operational / Executive,Governed report for inventory turnover.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-012,Stockout and Backorder,Operational / Executive,Governed report for stockout and backorder.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-013,Cycle Count Accuracy,Operational / Executive,Governed report for cycle count accuracy.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-014,Receiving Exceptions,Operational / Executive,Governed report for receiving exceptions.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-015,Delivery Performance,Operational / Executive,Governed report for delivery performance.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-016,Rental Utilization and Cost,Operational / Executive,Governed report for rental utilization and cost.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-017,Long-Lead Item Status,Operational / Executive,Governed report for long-lead item status.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-018,Supply Risk Exposure,Operational / Executive,Governed report for supply risk exposure.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-019,Three-Way Match Exceptions,Operational / Executive,Governed report for three-way match exceptions.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
P11-RPT-020,Executive Supply Chain Summary,Operational / Executive,Governed report for executive supply chain summary.,"Filterable by tenant, company, project, vendor, warehouse, date and status","CSV, XLSX, PDF, API"
