requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P15-REQ-001,Document Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-002,Drawing Management,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-003,Specification Management,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"Specifications are a document type and a submittal names the spec section it answers. There is no specification structure: no division or section hierarchy, no requirement extracted from a section, and nothing linking a spec paragraph to the submittal or the work that satisfies it."
P15-REQ-004,Submittals,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-005,RFIs,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-006,Transmittals & Distribution,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No transmittal, no distribution list, no record of who was sent which revision, and no acknowledgment — the platform sends nothing to anybody."
P15-REQ-007,Correspondence & Records,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No letter, no email capture, no correspondence log. It is one of the largest untraced modules in the register and the absence is complete."
P15-REQ-008,Version & Revision Control,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
P15-REQ-009,Markup & Review,not_verified,not_built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"No annotation, no markup layer, no review round, no comment resolution. A drawing can be stored and read and not marked up."
P15-REQ-010,OCR & Content Extraction,not_verified,partial,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,"The pipeline is modeled properly — a version moves through scanning, extracting and indexed, sheets carry per-page extracted text, and extractions carry what a model found with its prompt version and a currency flag. The governed AI analyst classifies sheets and extracts quantity candidates with citations. There is no OCR engine in the platform: extracted text arrives from the ingestion pipeline rather than being produced here, and a scanned drawing with no text layer yields nothing."
P15-REQ-011,Plan & Spec Intelligence,verified,built,,authorized workflow; revision/version behavior; search/retrieval; audit history; linked-record integrity; mapped test evidence,
