entity_id,name,domain,definition,key,governance
P19-ENT-001,Contract,Commercial Management Core,Canonical contract/change/claims/commercial entity for Contract.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-002,ContractVersion,Prime Contract Management,Canonical contract/change/claims/commercial entity for ContractVersion.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-003,ContractAmendment,Subcontract Management,Canonical contract/change/claims/commercial entity for ContractAmendment.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-004,ContractExhibit,Purchase Contract Commercials,Canonical contract/change/claims/commercial entity for ContractExhibit.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-005,ContractParty,Contract Clause Registry,Canonical contract/change/claims/commercial entity for ContractParty.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-006,ContractRole,Obligation Management,Canonical contract/change/claims/commercial entity for ContractRole.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-007,ContractValue,Notice Management,Canonical contract/change/claims/commercial entity for ContractValue.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-008,ContractTerm,Potential Change Management,Canonical contract/change/claims/commercial entity for ContractTerm.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-009,ContractDate,Change Order Management,Canonical contract/change/claims/commercial entity for ContractDate.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-010,ContractClause,Change Pricing,Canonical contract/change/claims/commercial entity for ContractClause.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-011,ClauseType,T&M / Force Account,Canonical contract/change/claims/commercial entity for ClauseType.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-012,ClauseReference,Change Authorization,Canonical contract/change/claims/commercial entity for ClauseReference.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-013,ClauseObligation,Contract Value Control,Canonical contract/change/claims/commercial entity for ClauseObligation.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-014,Obligation,Claims Management,Canonical contract/change/claims/commercial entity for Obligation.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-015,ObligationOwner,Delay & Disruption Records,Canonical contract/change/claims/commercial entity for ObligationOwner.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-016,ObligationDeadline,Differing Site Conditions,Canonical contract/change/claims/commercial entity for ObligationDeadline.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-017,ObligationEvidence,Scope & Design Change,Canonical contract/change/claims/commercial entity for ObligationEvidence.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-018,NoticeRequirement,Payment & Billing Commercials,Canonical contract/change/claims/commercial entity for NoticeRequirement.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-019,NoticeEvent,Retainage & Holdbacks,Canonical contract/change/claims/commercial entity for NoticeEvent.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-020,NoticeDeadline,Backcharges & Deductions,Canonical contract/change/claims/commercial entity for NoticeDeadline.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-021,NoticeRecipient,Allowances & Contingencies,Canonical contract/change/claims/commercial entity for NoticeRecipient.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-022,NoticeDelivery,Escalation & Price Adjustment,Canonical contract/change/claims/commercial entity for NoticeDelivery.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-023,NoticeEvidence,"Insurance, Bonds & Commercial Compliance",Canonical contract/change/claims/commercial entity for NoticeEvidence.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-024,ReservationOfRights,Lien & Waiver Administration,Canonical contract/change/claims/commercial entity for ReservationOfRights.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-025,PotentialChangeEvent,Dispute Management,Canonical contract/change/claims/commercial entity for PotentialChangeEvent.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-026,ChangeSource,Commercial Forecasting,Canonical contract/change/claims/commercial entity for ChangeSource.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-027,ChangeReason,Contract Closeout,Canonical contract/change/claims/commercial entity for ChangeReason.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-028,ChangeScope,AI Commercial Intelligence,Canonical contract/change/claims/commercial entity for ChangeScope.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-029,ChangeStatus,Commercial Digital Twin,Canonical contract/change/claims/commercial entity for ChangeStatus.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-030,ChangeOrder,Commercial Management Core,Canonical contract/change/claims/commercial entity for ChangeOrder.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-031,ChangeOrderVersion,Prime Contract Management,Canonical contract/change/claims/commercial entity for ChangeOrderVersion.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-032,PrimeChangeOrder,Subcontract Management,Canonical contract/change/claims/commercial entity for PrimeChangeOrder.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-033,SubcontractChangeOrder,Purchase Contract Commercials,Canonical contract/change/claims/commercial entity for SubcontractChangeOrder.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-034,ChangeDirective,Contract Clause Registry,Canonical contract/change/claims/commercial entity for ChangeDirective.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
P19-ENT-035,FieldDirective,Obligation Management,Canonical contract/change/claims/commercial entity for FieldDirective.,tenant_id + record_id,Versioned; project/contract scoped; authority/deadline aware; audited
