finding_type,reference,finding,count,severity,disposition
Test mapping gap,GOV-000002,No requirement_id match found in consolidated source test CSVs.,1,Review,Verify source phase test schema/mapping and add mapping if required
Test mapping gap,GOV-000004,No requirement_id match found in consolidated source test CSVs.,1,Review,Verify source phase test schema/mapping and add mapping if required
Test mapping gap,GOV-000007,No requirement_id match found in consolidated source test CSVs.,1,Review,Verify source phase test schema/mapping and add mapping if required
Test mapping gap,GOV-000011,No requirement_id match found in consolidated source test CSVs.,1,Review,Verify source phase test schema/mapping and add mapping if required
Test mapping gap,GOV-000013,No requirement_id match found in consolidated source test CSVs.,1,Review,Verify source phase test schema/mapping and add mapping if required
Test mapping gap,GOV-000015,No requirement_id match found in consolidated source test CSVs.,1,Review,Verify source phase test schema/mapping and add mapping if required
Test mapping gap,GOV-000019,No requirement_id match found in consolidated source test CSVs.,1,Review,Verify source phase test schema/mapping and add mapping if required
Test mapping gap,GOV-000021,No requirement_id match found in consolidated source test CSVs.,1,Review,Verify source phase test schema/mapping and add mapping if required
Test mapping gap,GOV-000024,No requirement_id match found in consolidated source test CSVs.,1,Review,Verify source phase test schema/mapping and add mapping if required
Test mapping gap,GOV-000025,No requirement_id match found in consolidated source test CSVs.,1,Review,Verify source phase test schema/mapping and add mapping if required
Traceability mapping gap,CPF-000001,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000002,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000003,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000004,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000005,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000006,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000007,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000008,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000009,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000010,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000011,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000012,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000013,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000014,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000015,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000016,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000017,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000018,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000019,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000020,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000021,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000022,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000023,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000024,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000025,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000026,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000027,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000028,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
Traceability mapping gap,CPF-000029,No requirement_id match found in consolidated source traceability CSVs.,1,Review,Verify source phase traceability artifact or create cross-phase mapping
