kpi_id,name,domain,definition,cadence,governance
P18-KPI-001,Schedule Performance Index,Enterprise Scheduling Core,Governed metric definition for Schedule Performance Index.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-002,Milestone On-Time %,CPM Scheduling,Governed metric definition for Milestone On-Time %.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-003,Critical Activity On-Time %,Work Breakdown Structure,Governed metric definition for Critical Activity On-Time %.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-004,Critical Path Duration,Calendars & Shifts,Governed metric definition for Critical Path Duration.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-005,Total Float Trend,Resource Planning,Governed metric definition for Total Float Trend.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-006,Negative Float Count,Resource Loading,Governed metric definition for Negative Float Count.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-007,Open Constraints,Resource Leveling,Governed metric definition for Open Constraints.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-008,Constraint Closure On-Time %,Crew Planning,Governed metric definition for Constraint Closure On-Time %.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-009,Look-Ahead Readiness %,Equipment Planning,Governed metric definition for Look-Ahead Readiness %.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-010,PPC %,Truck & Haul Planning,Governed metric definition for PPC %.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-011,Reason-for-Variance Closure,Material Planning,Governed metric definition for Reason-for-Variance Closure.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-012,Baseline Change Count,Subcontractor Planning,Governed metric definition for Baseline Change Count.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-013,Schedule Update Timeliness,Look-Ahead Planning,Governed metric definition for Schedule Update Timeliness.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-014,Actual Progress vs Planned,Last Planner & Commitments,Governed metric definition for Actual Progress vs Planned.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-015,Quantity Progress vs Planned,Pull Planning,Governed metric definition for Quantity Progress vs Planned.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-016,Production Rate vs Plan,Milestones & Contract Dates,Governed metric definition for Production Rate vs Plan.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-017,Forecast Completion Variance,Baseline Management,Governed metric definition for Forecast Completion Variance.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-018,Forecast Milestone Variance,Schedule Update Cycle,Governed metric definition for Forecast Milestone Variance.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-019,Labor Demand Variance,Progress Measurement,Governed metric definition for Labor Demand Variance.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-020,Crew Utilization,Cost & Schedule Integration,Governed metric definition for Crew Utilization.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-021,Crew Overload Hours,Constraint Management,Governed metric definition for Crew Overload Hours.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-022,Equipment Demand Variance,Weather & Calendar Impacts,Governed metric definition for Equipment Demand Variance.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-023,Equipment Utilization,Schedule Risk Analysis,Governed metric definition for Equipment Utilization.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
P18-KPI-024,Equipment Overload Hours,Recovery & Acceleration,Governed metric definition for Equipment Overload Hours.,Daily/Weekly/Monthly,"Certified definition, schedule version/baseline scope and owner required"
