event_id,event_name,version,envelope,delivery,status
P28-EVT-001,identity.authenticated,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-002,identity.authentication.failed,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-003,identity.mfa.challenge,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-004,identity.role.assigned,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-005,identity.privilege.requested,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-006,identity.privilege.approved,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-007,identity.session.revoked,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-008,serviceidentity.created,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-009,serviceidentity.credential.rotated,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-010,security.policy.published,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-011,security.classification.assigned,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-012,security.key.rotated,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-013,security.secret.rotation.due,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-014,security.certificate.expiring,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-015,security.finding.created,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-016,security.finding.exception.requested,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-017,security.threatmodel.updated,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-018,security.alert.created,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-019,security.incident.created,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-020,security.incident.severity.changed,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-021,security.accessreview.started,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-022,security.accessreview.completed,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-023,security.sod.violation,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
P28-EVT-024,security.exception.expiring,v1,"event_id,event_name,version,tenant_id,actor/service,occurred_at,correlation_id,security_context,payload",Security telemetry/audit pipeline; integrity protected; tenant/platform scope,Proposed
