Requirement ID,Module,Business Rule,Validation Rule,Test Case,Workflow,Engine,API
GES-P10-REQ-001,FIN-CORE,BR-001,VR-001,TC-P10-001,WF-P10-01,ENG-P10-01,API-P10-01
GES-P10-REQ-002,FIN-CORE,BR-002,VR-002,TC-P10-002,WF-P10-02,ENG-P10-02,API-P10-02
GES-P10-REQ-003,FIN-CORE,BR-003,VR-003,TC-P10-003,WF-P10-03,ENG-P10-03,API-P10-03
GES-P10-REQ-004,FIN-CORE,BR-004,VR-004,TC-P10-004,WF-P10-04,ENG-P10-04,API-P10-04
GES-P10-REQ-005,FIN-CORE,BR-005,VR-005,TC-P10-005,WF-P10-05,ENG-P10-05,API-P10-05
GES-P10-REQ-006,FIN-CORE,BR-006,VR-006,TC-P10-006,WF-P10-06,ENG-P10-06,API-P10-06
GES-P10-REQ-007,FIN-CORE,BR-007,VR-007,TC-P10-007,WF-P10-07,ENG-P10-07,API-P10-07
GES-P10-REQ-008,FIN-CORE,BR-008,VR-008,TC-P10-008,WF-P10-08,ENG-P10-08,API-P10-08
GES-P10-REQ-009,FIN-CORE,BR-009,VR-009,TC-P10-009,WF-P10-09,ENG-P10-09,API-P10-09
GES-P10-REQ-010,FIN-CORE,BR-010,VR-010,TC-P10-010,WF-P10-10,ENG-P10-10,API-P10-10
GES-P10-REQ-011,FIN-CORE,BR-011,VR-011,TC-P10-011,WF-P10-11,ENG-P10-11,API-P10-11
GES-P10-REQ-012,FIN-CORE,BR-012,VR-012,TC-P10-012,WF-P10-12,ENG-P10-12,API-P10-12
GES-P10-REQ-013,FIN-CORE,BR-013,VR-013,TC-P10-013,WF-P10-13,ENG-P10-13,API-P10-13
GES-P10-REQ-014,FIN-CORE,BR-014,VR-014,TC-P10-014,WF-P10-14,ENG-P10-14,API-P10-14
GES-P10-REQ-015,FIN-CORE,BR-015,VR-015,TC-P10-015,WF-P10-15,ENG-P10-15,API-P10-15
GES-P10-REQ-016,GL,BR-016,VR-016,TC-P10-016,WF-P10-16,ENG-P10-16,API-P10-16
GES-P10-REQ-017,GL,BR-017,VR-017,TC-P10-017,WF-P10-17,ENG-P10-17,API-P10-17
GES-P10-REQ-018,GL,BR-018,VR-018,TC-P10-018,WF-P10-18,ENG-P10-18,API-P10-18
GES-P10-REQ-019,GL,BR-019,VR-019,TC-P10-019,WF-P10-19,ENG-P10-19,API-P10-19
GES-P10-REQ-020,GL,BR-020,VR-020,TC-P10-020,WF-P10-20,ENG-P10-20,API-P10-20
GES-P10-REQ-021,GL,BR-021,VR-021,TC-P10-021,WF-P10-01,ENG-P10-21,API-P10-21
GES-P10-REQ-022,GL,BR-022,VR-022,TC-P10-022,WF-P10-02,ENG-P10-22,API-P10-22
GES-P10-REQ-023,GL,BR-023,VR-023,TC-P10-023,WF-P10-03,ENG-P10-23,API-P10-23
GES-P10-REQ-024,GL,BR-024,VR-024,TC-P10-024,WF-P10-04,ENG-P10-24,API-P10-24
GES-P10-REQ-025,GL,BR-025,VR-025,TC-P10-025,WF-P10-05,ENG-P10-25,API-P10-25
GES-P10-REQ-026,GL,BR-026,VR-026,TC-P10-026,WF-P10-06,ENG-P10-01,API-P10-26
