Entity ID,Entity,Domain,Definition,Core Fields,System Role
GES-P09-ENT-001,Tenant Workforce Configuration,Workforce Planning,Canonical record for tenant workforce configuration within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-002,Legal Employer,Recruiting and ATS,Canonical record for legal employer within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-003,Business Unit,Onboarding,Canonical record for business unit within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-004,Department,Employee Master,Canonical record for department within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-005,Work Location,Skills and Competencies,Canonical record for work location within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-006,Labor Region,Crew Management,Canonical record for labor region within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-007,Worker,Time and Attendance,Canonical record for worker within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-008,Person,Workforce Scheduling,Canonical record for person within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-009,Emergency Contact,Compensation and Payroll Integration,Canonical record for emergency contact within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-010,Employment Relationship,Union and Labor Agreements,Canonical record for employment relationship within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-011,Employment Status History,Prevailing Wage and Certified Payroll,Canonical record for employment status history within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-012,Job Position,Training and LMS,Canonical record for job position within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-013,Job Classification,Licenses and Certifications,Canonical record for job classification within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-014,Trade,Safety and Health Integration,Canonical record for trade within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-015,Craft,Leave and Absence,Canonical record for craft within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-016,Union Local,Performance Management,Canonical record for union local within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-017,Collective Bargaining Agreement,Career and Succession,Canonical record for collective bargaining agreement within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
GES-P09-ENT-018,Labor Rate Table,Employee and Manager Self-Service,Canonical record for labor rate table within the governed workforce platform.,tenant_id; id; status; effective dates; audit fields,System of Record
