api_id,method,path,purpose,security,control
P25-API-001,GET,/api/v1/libraries,List library types and status,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-002,GET,/api/v1/libraries/{type}/records,Query library records,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-003,POST,/api/v1/libraries/{type}/records,Create draft library record,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-004,GET,/api/v1/libraries/{type}/records/{id},Read one library record,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-005,PATCH,/api/v1/libraries/{type}/records/{id},Update draft/create new version,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-006,POST,/api/v1/libraries/{type}/records/{id}/submit,Submit for review,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-007,POST,/api/v1/libraries/{type}/records/{id}/approve,Approve version,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-008,POST,/api/v1/libraries/{type}/records/{id}/publish,Publish approved version,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-009,POST,/api/v1/libraries/{type}/records/{id}/supersede,Supersede published version,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-010,GET,/api/v1/services,Query service catalog,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-011,POST,/api/v1/services,Create service,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-012,GET,/api/v1/assemblies,Query assemblies,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-013,POST,/api/v1/assemblies,Create assembly draft,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-014,GET,/api/v1/rates/production,Query production rates,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-015,GET,/api/v1/rates/labor,Query labor rates,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-016,GET,/api/v1/rates/equipment,Query equipment rates,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-017,GET,/api/v1/prices/materials,Query material prices,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-018,GET,/api/v1/rates/trucking,Query truck/haul rates,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-019,GET,/api/v1/rates/disposal,Query disposal rates,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-020,GET,/api/v1/regional-profiles,Query regional profiles,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-021,POST,/api/v1/library-overrides,Create tenant override,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-022,POST,/api/v1/library-imports,Create import preview job,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-023,POST,/api/v1/library-imports/{id}/commit,Commit validated import,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-024,POST,/api/v1/ai/library-proposals,Create AI writeback proposal,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-025,POST,/api/v1/ai/library-proposals/{id}/approve,Approve AI proposal into draft/version,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-026,POST,/api/v1/library-snapshots,Create immutable estimator library snapshot,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
P25-API-027,GET,/api/v1/library-snapshots/{id},Read snapshot metadata,Authenticated; tenant scope + policy; approval authority where applicable,Version/audit/provenance required; writes idempotent where retry-sensitive
