entity_id,name,domain,definition,key,governance
P13-ENT-001,MetricDefinition,Executive Command Center,Canonical entity for MetricDefinition in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-002,MetricVersion,Semantic Metrics Layer,Canonical entity for MetricVersion in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-003,Measure,Operational Intelligence,Canonical entity for Measure in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-004,Dimension,Financial Intelligence,Canonical entity for Dimension in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-005,DimensionMember,Project Intelligence,Canonical entity for DimensionMember in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-006,FactDataset,Estimating Intelligence,Canonical entity for FactDataset in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-007,SemanticModel,CRM & Market Intelligence,Canonical entity for SemanticModel in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-008,DataProduct,Workforce Intelligence,Canonical entity for DataProduct in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-009,DataSource,Procurement Intelligence,Canonical entity for DataSource in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-010,SourceSystem,Fleet Intelligence,Canonical entity for SourceSystem in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-011,IngestionJob,"Safety, Quality & Compliance Analytics",Canonical entity for IngestionJob in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-012,TransformationJob,Portfolio & Program Intelligence,Canonical entity for TransformationJob in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-013,DataQualityRule,Forecasting & Scenario Planning,Canonical entity for DataQualityRule in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-014,DataQualityResult,AI Decision Intelligence,Canonical entity for DataQualityResult in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-015,LineageEdge,Data Platform & Lineage,Canonical entity for LineageEdge in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-016,LineageNode,Reporting & Distribution,Canonical entity for LineageNode in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-017,FreshnessPolicy,Self-Service Analytics,Canonical entity for FreshnessPolicy in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-018,DatasetSnapshot,Enterprise Digital Twin,Canonical entity for DatasetSnapshot in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-019,Dashboard,Executive Command Center,Canonical entity for Dashboard in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-020,DashboardPage,Semantic Metrics Layer,Canonical entity for DashboardPage in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-021,Widget,Operational Intelligence,Canonical entity for Widget in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-022,Visualization,Financial Intelligence,Canonical entity for Visualization in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-023,FilterDefinition,Project Intelligence,Canonical entity for FilterDefinition in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-024,SavedView,Estimating Intelligence,Canonical entity for SavedView in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-025,ReportDefinition,CRM & Market Intelligence,Canonical entity for ReportDefinition in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-026,ReportRun,Workforce Intelligence,Canonical entity for ReportRun in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-027,ReportSubscription,Procurement Intelligence,Canonical entity for ReportSubscription in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-028,AlertRule,Fleet Intelligence,Canonical entity for AlertRule in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-029,AlertEvent,"Safety, Quality & Compliance Analytics",Canonical entity for AlertEvent in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-030,Threshold,Portfolio & Program Intelligence,Canonical entity for Threshold in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-031,Scorecard,Forecasting & Scenario Planning,Canonical entity for Scorecard in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
P13-ENT-032,Objective,AI Decision Intelligence,Canonical entity for Objective in the enterprise intelligence domain.,tenant_id,Audited; versioned where applicable
