event_id,event_name,version,envelope,delivery,status
P31-EVT-001,platform.build.completed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-002,platform.build.failed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-003,platform.artifact.published,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-004,platform.release.created,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-005,platform.release.approved,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-006,platform.deployment.started,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-007,platform.deployment.completed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-008,platform.deployment.failed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-009,platform.rollback.started,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-010,platform.rollback.completed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-011,platform.migration.started,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-012,platform.migration.completed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-013,platform.migration.failed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-014,platform.canary.started,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-015,platform.canary.halted,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-016,platform.canary.promoted,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-017,platform.featureflag.changed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-018,platform.slo.breached,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-019,platform.alert.created,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-020,platform.incident.declared,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-021,platform.incident.resolved,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-022,platform.backup.completed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-023,platform.backup.failed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-024,platform.restore.tested,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-025,platform.dr.exercise.completed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-026,platform.capacity.threshold,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-027,platform.autoscaling.changed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-028,platform.cost.anomaly,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-029,platform.maintenance.started,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
P31-EVT-030,platform.maintenance.completed,v1,"event_id,event_name,version,environment_id,service_id,release/deployment id,occurred_at,correlation_id,payload",Operations/security telemetry; immutable release/deployment evidence where applicable,Proposed
