Entity,Field,Data Type,Definition,Required,Control
FinancialTenantProfile,tenant_id,UUID,Owning tenant identifier,Y,Tenant-scoped; audit controlled
FinancialTenantProfile,company_id,UUID,Owning legal entity/company,Y,Tenant-scoped; audit controlled
FinancialTenantProfile,id,UUID,Canonical record identifier,Y,Tenant-scoped; audit controlled
FinancialTenantProfile,status,String,Controlled lifecycle status,Y,Tenant-scoped; audit controlled
FinancialTenantProfile,created_at,DateTime,Creation timestamp,Y,Tenant-scoped; audit controlled
FinancialTenantProfile,created_by,UUID,Creating principal,Y,Tenant-scoped; audit controlled
FinancialTenantProfile,updated_at,DateTime,Last update timestamp,Y,Tenant-scoped; audit controlled
FinancialTenantProfile,updated_by,UUID,Last updating principal,Y,Tenant-scoped; audit controlled
FinancialTenantProfile,effective_from,Date,Effective start date,N,Tenant-scoped; audit controlled
FinancialTenantProfile,effective_to,Date,Effective end date,N,Tenant-scoped; audit controlled
LegalEntity,tenant_id,UUID,Owning tenant identifier,Y,Tenant-scoped; audit controlled
LegalEntity,company_id,UUID,Owning legal entity/company,Y,Tenant-scoped; audit controlled
LegalEntity,id,UUID,Canonical record identifier,Y,Tenant-scoped; audit controlled
LegalEntity,status,String,Controlled lifecycle status,Y,Tenant-scoped; audit controlled
LegalEntity,created_at,DateTime,Creation timestamp,Y,Tenant-scoped; audit controlled
LegalEntity,created_by,UUID,Creating principal,Y,Tenant-scoped; audit controlled
LegalEntity,updated_at,DateTime,Last update timestamp,Y,Tenant-scoped; audit controlled
LegalEntity,updated_by,UUID,Last updating principal,Y,Tenant-scoped; audit controlled
LegalEntity,effective_from,Date,Effective start date,N,Tenant-scoped; audit controlled
LegalEntity,effective_to,Date,Effective end date,N,Tenant-scoped; audit controlled
Company,tenant_id,UUID,Owning tenant identifier,Y,Tenant-scoped; audit controlled
Company,company_id,UUID,Owning legal entity/company,Y,Tenant-scoped; audit controlled
Company,id,UUID,Canonical record identifier,Y,Tenant-scoped; audit controlled
Company,status,String,Controlled lifecycle status,Y,Tenant-scoped; audit controlled
Company,created_at,DateTime,Creation timestamp,Y,Tenant-scoped; audit controlled
Company,created_by,UUID,Creating principal,Y,Tenant-scoped; audit controlled
Company,updated_at,DateTime,Last update timestamp,Y,Tenant-scoped; audit controlled
Company,updated_by,UUID,Last updating principal,Y,Tenant-scoped; audit controlled
Company,effective_from,Date,Effective start date,N,Tenant-scoped; audit controlled
Company,effective_to,Date,Effective end date,N,Tenant-scoped; audit controlled
BusinessUnit,tenant_id,UUID,Owning tenant identifier,Y,Tenant-scoped; audit controlled
BusinessUnit,company_id,UUID,Owning legal entity/company,Y,Tenant-scoped; audit controlled
BusinessUnit,id,UUID,Canonical record identifier,Y,Tenant-scoped; audit controlled
BusinessUnit,status,String,Controlled lifecycle status,Y,Tenant-scoped; audit controlled
BusinessUnit,created_at,DateTime,Creation timestamp,Y,Tenant-scoped; audit controlled
BusinessUnit,created_by,UUID,Creating principal,Y,Tenant-scoped; audit controlled
