ui_id,name,domain,capabilities,form_factor
P17-UI-001,Machine Control Command Center,Machine Control Core,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-002,Project Machine Control Setup,GPS/GNSS Positioning,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-003,Phase 16 Handoff Review,Localization & Calibration,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-004,Model Register,3D Models & Surfaces,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-005,Surface Manager,2D Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-006,Alignment/Corridor Manager,3D Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-007,Localization Manager,Automatic Grade Control,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-008,Calibration Review,Excavator Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-009,Control Reference Viewer,Dozer Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-010,Machine/Device Register,Grader Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-011,Compatibility Matrix,Compactor Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-012,Firmware/Software Manager,Loader & Material Handling,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
P17-UI-013,Job Package Builder,Paver/Milling Guidance,Role-based; revision and localization status visible; machine/device context; safety alerts; responsive; in-cab surfaces prioritize simple operator UX,Web/tablet/mobile/in-cab
