artifact_id,kind,name,path,category
ENG-001,engine,Numeric Kernel,packages/engine/src/numeric.ts,ENGINE
ENG-002,engine,Units & Volume Engine,packages/engine/src/units.ts,ENGINE
ENG-003,engine,Quantity Engine,packages/engine/src/quantity.ts,ENGINE
ENG-004,engine,Production Engine,packages/engine/src/production.ts,ENGINE
ENG-005,engine,Resource Engine,packages/engine/src/resources.ts,ENGINE
ENG-006,engine,Trucking Engine,packages/engine/src/trucking.ts,ENGINE
ENG-007,engine,Pricing Engine,packages/engine/src/pricing.ts,ENGINE
ENG-008,engine,Confidence Engine,packages/engine/src/confidence.ts,ENGINE
ENG-009,engine,Estimate Engine,packages/engine/src/estimate.ts,ENGINE
ENG-010,engine,Surface Engine,packages/engine/src/surfaces.ts,ENGINE
ENG-011,engine,Document Rendering Engine,packages/pdf/src,ENGINE
ENG-012,engine,Connector Runtime Engine,supabase/functions/_shared/connectors/runner.ts,ENGINE
ENG-013,engine,Ingestion Engine,supabase/functions/_shared/ingestion/pipeline.ts,ENGINE
ENG-014,engine,Access Control Engine,supabase/functions/_shared/api/gateway.ts,ENGINE
ENG-015,engine,Subscription State Engine,supabase/functions/_shared/subscription-state.ts,ENGINE
ENG-016,engine,Theme Engine,apps/web/src/lib/theme.ts,ENGINE
ENG-017,engine,Assembly Engine,packages/engine/src/assemblies.ts,ENGINE
ENG-018,engine,Material Cost Engine,packages/engine/src/materials.ts,ENGINE
ENG-019,engine,Portable Estimate Engine,packages/engine/src/portable.ts,ENGINE
ENG-020,engine,Library Snapshot Engine,packages/engine/src/snapshot.ts,ENGINE
ENG-021,engine,Scenario Engine,packages/engine/src/scenarios.ts,ENGINE
ENG-022,engine,Override Engine,packages/engine/src/overrides.ts,ENGINE
ENG-023,engine,Redaction Engine,supabase/functions/_shared/observability/redaction.ts,ENGINE
ENG-024,engine,Structured Logger,supabase/functions/_shared/observability/logger.ts,ENGINE
ENG-025,engine,Metrics Engine,supabase/functions/_shared/observability/metrics.ts,ENGINE
ENG-026,engine,Health Engine,supabase/functions/_shared/observability/health.ts,ENGINE
ENG-027,engine,Work Calendar Engine,packages/engine/src/calendar.ts,ENGINE
ENG-028,engine,Critical Path Engine,packages/engine/src/schedule.ts,ENGINE
AI-001,ai_agent,Plan Analyst,supabase/functions/ai-analyze-document,AI_AGENT
TBL-ai_agents,table,ai_agents,supabase/migrations (table ai_agents),AI_AGENT
TBL-ai_conversations,table,ai_conversations,supabase/migrations (table ai_conversations),AI_AGENT
TBL-ai_findings,table,ai_findings,supabase/migrations (table ai_findings),AI_AGENT
TBL-ai_messages,table,ai_messages,supabase/migrations (table ai_messages),AI_AGENT
TBL-ai_models,table,ai_models,supabase/migrations (table ai_models),LIBRARY
TBL-ai_prompts,table,ai_prompts,supabase/migrations (table ai_prompts),LIBRARY
TBL-ap_invoices,table,ap_invoices,supabase/migrations (table ap_invoices),ENTITY
TBL-api_keys,table,api_keys,supabase/migrations (table api_keys),ENTITY
TBL-api_requests,table,api_requests,supabase/migrations (table api_requests),ENTITY
TBL-approval_requests,table,approval_requests,supabase/migrations (table approval_requests),WORKFLOW
TBL-assemblies,table,assemblies,supabase/migrations (table assemblies),LIBRARY
TBL-assembly_components,table,assembly_components,supabase/migrations (table assembly_components),LIBRARY
TBL-assets,table,assets,supabase/migrations (table assets),ENTITY
TBL-audit_events,table,audit_events,supabase/migrations (table audit_events),ENTITY
TBL-bid_reconciliations,table,bid_reconciliations,supabase/migrations (table bid_reconciliations),ENTITY
TBL-billing_invoices,table,billing_invoices,supabase/migrations (table billing_invoices),ENTITY
TBL-change_order_items,table,change_order_items,supabase/migrations (table change_order_items),ENTITY
TBL-change_orders,table,change_orders,supabase/migrations (table change_orders),WORKFLOW
TBL-claims,table,claims,supabase/migrations (table claims),WORKFLOW
TBL-commercial_authority_limits,table,commercial_authority_limits,supabase/migrations (table commercial_authority_limits),ENTITY
TBL-companies,table,companies,supabase/migrations (table companies),ENTITY
TBL-company_invitations,table,company_invitations,supabase/migrations (table company_invitations),ENTITY
TBL-company_memberships,table,company_memberships,supabase/migrations (table company_memberships),ENTITY
TBL-condition_modifiers,table,condition_modifiers,supabase/migrations (table condition_modifiers),LIBRARY
TBL-connector_runs,table,connector_runs,supabase/migrations (table connector_runs),WORKFLOW
TBL-connectors,table,connectors,supabase/migrations (table connectors),ENTITY
TBL-contacts,table,contacts,supabase/migrations (table contacts),ENTITY
TBL-contracts,table,contracts,supabase/migrations (table contracts),ENTITY
TBL-cost_codes,table,cost_codes,supabase/migrations (table cost_codes),LIBRARY
