requirement_id,capability,verification,gap,evidence
CPF-000001,Authentication framework,not_verified,"Authentication is Supabase Auth's and nothing about it is tenant-configurable. There is no provider registry, no per-company policy, no passwordless or SSO configuration. The multi-factor toggle that once appeared in settings was removed in this build because it was a control that switched nothing.",
CPF-000002,Session management,not_verified,"Sessions are Supabase Auth's, so issue, refresh and expiry happen outside this schema and no revoked session could reach a governed table — row level security evaluates the JWT on every statement. What the requirement asks for is configurable risk and inactivity policy, and none exists here: no session record, no inactivity window, no revocation surface.",
CPF-000003,Service identities,verified,,"API keys are the platform's non-human identity and they are governed properly: stored only as a hash, scoped to named permissions, tied to one company, revocable with the actor recorded, and every request logged with the key, path, status and duration — successes and failures alike, because an audit log that records only successes cannot answer what a key tried to do. Since migration 0050 a write through the gateway is attributed in the audit ledger to the key that made it, which it previously was not. Rotation is manual: a key is revoked and another issued, with no scheduled lifecycle."
CPF-000004,Authorization service,verified,,"One centralized decision. `app.has_permission` is the single authority in the database, called by every generated policy rather than by hand-written predicates, and `authorize` in the API gateway is a pure function returning an explicit allow or a typed denial with its status and code — 65 tests cover it. Every denial is logged with its correlation id, and since 0050 the correlation reaches the audit ledger too. What the requirement's wording asks for and does not get is the *matched policy* in the decision: the answer says allowed or denied and not which rule decided it."
CPF-000005,Device trust,not_verified,"No device trust. No device registration, no posture, no risk score and no policy that could require one.",
CPF-000006,Tenant context propagation,verified,,"No governed statement can execute without tenant context, and it is structural rather than conventional: every table carries company_id with forced row level security predicating on it, two migration-time gates refuse to apply if a table is left open or the anonymous role can reach anything beyond the public plan catalog, and `app.enforce_tenant_parent` refuses a child row attached to another company's parent through 34 triggers. Where a caller necessarily runs as the service role — the API gateway, holding a key rather than a user — the tenant filter is applied by a wrapper rather than left to each handler, and `app.evaluate_metric` takes a company in its signature so it cannot be called without naming one."
CPF-000007,Tenant data isolation,verified,,"Blocked and testable, thoroughly: 51 row level security tests plus per-module isolation tests across estimating, operations, finance, fleet, documents, survey and the network layer, all against real PostgreSQL with two provisioned companies. This build found and closed two cross-tenant holes of its own — `document_versions` and `document_sheets` were missing tenant parentage — and P16 closed a third one level in, where a surface comparison could difference one project's ground against another's design. Logged is the weak word: an attempt is refused and the refusal is not recorded, because a policy that filters a row leaves no trace."
CPF-000008,Regional data placement,not_verified,"No regional placement. No region on any entity, no residency constraint, no storage class. One database in one region — P03 recorded the same.",
CPF-000009,Provisioning automation,not_verified,"`app.provision_company` is a single governed transaction that creates the company, its owner membership, its roles, its entitlement and its trial, and refuses to leave a company without an active owner — so it is atomic and its rollback is the transaction. It produces no validation report, and there is no post-provisioning check that the tenant is correctly formed.",
CPF-000010,Global identifier service,verified,,"Every identifier is a uuid generated at insert and never derived from anything about the row, stable across every version and export: the estimate exchange format carries them, the library snapshot pins them, and a job cost row references the record that produced it by id. Business codes exist alongside — a project number, a cost code — and none is a primary key. P03 verified the same property from the data-architecture side."
CPF-000011,Metadata framework,not_verified,"There is no metadata framework. `governance/registry.json` classifies every table and is a file in the repository rather than a queryable, permissioned, versioned service; metric definitions are the one governed metadata that behaves the way this requirement asks, and they describe measures rather than the platform.",
CPF-000012,Universal tagging,not_verified,"No tagging of any kind. No tag, no label, no taxonomy, no synonyms — P03 and P04 recorded the same.",
CPF-000013,File and document service,not_verified,"Documents carry versions, sheets, extracted text, supersession that cannot form a cycle and a current version kept in step by trigger — and of the five things this requirement names, only owner is recorded. There is no checksum on a document version (machine control files have one and, since P17, must), no classification, no retention and no per-file access policy beyond table-level permissions.",
CPF-000014,Search service,verified,,"`app.search_document_text` searches the extracted text of document versions, and the tenancy is not bolted on: it runs under the caller's rights against tables whose policies filter by company, so an unauthorized record cannot appear in a result or a snippet because it cannot be selected in the first place. There is no separate search index to fall out of step with the records — the property P03 records as met for the search model."
CPF-000015,Notification service,not_verified,"This build strengthened the notification layer twice and it still fails this requirement. Producers are real and fire on the transition rather than on every touch — a recordable incident, a lapsed credential, a machine down, a service due, a superseded design still on a machine. Since migration 0054 a notice is a fixed record and read state is per person rather than shared. Of the four things named here, deduplication is the only one met: there is no delivery status because there is no delivery, no retry because there is no send, and the audit is the general row audit rather than a delivery record. `emailed_at` was dropped in that migration precisely because it recorded a delivery the platform cannot make.",
CPF-000016,Scheduler service,not_verified,No scheduler. Nothing runs on a schedule anywhere in the platform — P29 recorded that this is why a lapsed credential cannot be swept for and P20 that there is no scheduled run of anything.,
CPF-000017,Background job service,not_verified,"No background job service. No queue, no priority, no retry, no idempotency key, no progress, no cancellation, no dead letter. Every operation is synchronous within a request or a trigger.",
CPF-000018,Distributed cache,verified,,"There is no distributed cache, so cache failure cannot corrupt source-of-truth data — the requirement's own acceptance criterion is satisfied by construction, and P03's materialization test proves the related property that no reporting figure is a stale copy. Recorded as met because the criterion is about a failure mode that cannot occur, and stated plainly rather than dressed up: this is the absence of a component, not a caching strategy."
CPF-000019,Configuration service,not_verified,"No configuration service. Per-company configuration is governed data — pricing profiles, authority limits, calendars, credential requirements, financial periods, metric definitions — and there is no effective-configuration resolver above it, no precedence across layers and no subscription to changes. P01 recorded the same.",
CPF-000020,Feature flag service,not_verified,"No feature flags. Entitlements gate capability by plan, which is licensing rather than release control: no flag, no rollout percentage, no kill switch, and no way to change behavior without a deployment.",
CPF-000021,Workflow engine,not_verified,"No workflow engine. Approvals are per-object rules in the schema rather than a definition anybody can author, and there is no workflow state to survive a restart or to inspect. P01, P07 and P23 each recorded this.",
CPF-000022,Rules engine,not_verified,"No rules engine. The platform's rules are triggers and constraints — reproducible and attributable to a migration, which is a version of a kind — and there is no rule a tenant can author, no explanation of a result, and no rule version on an outcome.",
