api_id,method,path,purpose,security,control
P31-API-001,GET,/api/v1/platform/environments,List environments,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-002,GET,/api/v1/platform/services,List runtime services,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-003,GET,/api/v1/platform/services/{id}/status,Read service health/deployment state,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-004,POST,/api/v1/platform/releases,Create release candidate,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-005,GET,/api/v1/platform/releases/{id},Read release/evidence,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-006,POST,/api/v1/platform/releases/{id}/approve,Approve release gate,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-007,POST,/api/v1/platform/releases/{id}/deploy,Deploy approved release,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-008,POST,/api/v1/platform/deployments/{id}/rollback,Execute governed rollback,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-009,GET,/api/v1/platform/deployments/{id},Read deployment state,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-010,GET,/api/v1/platform/migrations/{id},Read migration state,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-011,POST,/api/v1/platform/feature-flags/{id}/release,Change governed release flag,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-012,GET,/api/v1/platform/observability/health,Read platform health summary,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-013,GET,/api/v1/platform/observability/slo,Read SLO/error-budget state,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-014,GET,/api/v1/platform/alerts,List alerts,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-015,POST,/api/v1/platform/incidents,Declare incident,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-016,GET,/api/v1/platform/incidents/{id},Read incident,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-017,POST,/api/v1/platform/incidents/{id}/actions,Record containment/recovery action,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-018,GET,/api/v1/platform/capacity,Read capacity/scaling status,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-019,POST,/api/v1/platform/performance-tests,Run authorized performance test,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-020,GET,/api/v1/platform/backups,List backup state,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-021,POST,/api/v1/platform/restores/tests,Run restore validation,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-022,GET,/api/v1/platform/dr-plans,List DR plans,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-023,POST,/api/v1/platform/dr-exercises,Run/record DR exercise,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-024,GET,/api/v1/platform/runbooks,List permitted runbooks,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-025,GET,/api/v1/platform/finops/costs,Read cloud cost allocation,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-026,GET,/api/v1/platform/finops/anomalies,Read cost anomalies,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-027,GET,/api/v1/platform/audit/deployments,Query deployment audit,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
P31-API-028,GET,/api/v1/platform/release-gates,Read release gate status,Restricted platform/operations/security scope; Phase 28 authorization; environment boundaries,All mutations audited; production actions require release/operational authority
