phase,requirements,implementation_status,what_exists
P01,25,substantial,"Roles, permissions, approval tiers, audit ledger, multi-company tenancy, RLS forced on 122 tables."
P02,60,substantial,"Auth, tenancy, RLS, audit, notifications, search, file/document storage, workflow state machines."
P03,75,substantial,"122 tables, 5 reporting views, generated columns, immutability triggers, structural tenant guard."
P04,97,substantial,"26 library tables on a declared three-tier scope, 4,671 seeded catalog records."
P05,108,substantial,"Ten engine modules, 259 tests, 99.7% statements. Quantity, production, resources, trucking, pricing, confidence, estimate."
P06,120,partial,"One governed agent with citations, draft-only authority and an acceptance trigger. The 20-agent ecosystem is not built."
P07,160,substantial,"Projects, tasks, costs, daily reports, RFIs, submittals, change orders, schedule with critical path."
P08,180,partial,"Customers, contacts, leads, opportunities, CRM activities and a pipeline screen. No marketing automation or customer portal."
P09,210,partial,"Employees, time entries, crews, credentials with calendar-recomputed status. No ATS, payroll or self-service portal."
P10,240,substantial,"Schedule of values, AIA pay applications, AP invoices with three-way match, job cost, WIP, retainage."
P11,260,substantial,"RFQs with leveling, purchase orders, deliveries, inventory with a transaction ledger, vendors."
P12,280,substantial,"Assets, meter readings, fuel transactions, maintenance schedules, work orders, utilization."
P13,300,partial,"Four reporting views and 16 governed metric definitions. No warehouse, no self-service analytics."
P14,320,substantial,"Incidents requiring a root cause, observations, toolbox talks, inspections, deficiencies, OSHA recordability."
P15,340,substantial,"Documents, versions, sheets, extractions, supersession, conflict detection, ingestion pipeline."
P16,360,partial,"Surveys, surfaces, datum-guarded comparisons, cut/fill, cross sections, progress to grade. No photogrammetry or LiDAR processing."
P17,380,partial,"Versioned machine control files by vendor and format, machine assignment, superseded versions retained. No live guidance."
P18,400,partial,"Schedule activities, dependencies, float, critical path, resource assignments. No baselines or earned value."
P19,420,substantial,"Contracts with notice clauses, claims with database-derived deadlines, change orders with margin and schedule impact."
P20,450,partial,"794 tests across five layers and a production build. No CI/CD, environments or deployment infrastructure."
P23,300,substantial,"The repository, architecture, coding standards and quality gates exist and run."
P24,360,substantial,"Identity, tenancy, entitlements, white-label config, API pipeline, audit, workflow."
P25,400,substantial,"Library scope, overrides that never mutate the platform row, seeded catalog."
P26,450,substantial,"The deterministic estimating engine, in full, with the ten governing rules enforced by test."
P27,480,partial,"Governed findings with citations, draft authority and human acceptance. No multi-agent orchestration."
P28,500,substantial,"RLS forced everywhere, default-deny grants, hashed API keys, scoped access, append-only audit, security gates."
P29,520,partial,Reporting views with security_invoker and governed metrics. No lakehouse or semantic self-service.
P30,540,substantial,"Stripe checkout, portal, webhooks, entitlements, plan catalog, white-label theming."
P31,560,none,"No cloud infrastructure, IaC, CI/CD pipeline, observability or disaster recovery."
P32,580,none,"No UAT, pilot, migration or go-live certification has been performed."
