Entity_ID,Entity,Module,Definition,Core_Fields,Authority
P11-ENT-001,Supplier,Procurement Planning,Canonical Supplier record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-002,SupplierSite,Supplier Management,Canonical SupplierSite record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-003,SupplierContact,Strategic Sourcing,Canonical SupplierContact record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-004,SupplierClassification,Purchase Requisitions,Canonical SupplierClassification record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-005,SupplierQualification,Purchase Orders,Canonical SupplierQualification record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-006,SupplierInsurance,Subcontract Procurement,Canonical SupplierInsurance record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-007,SupplierLicense,Inventory Control,Canonical SupplierLicense record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-008,SupplierCertificate,Warehouse Operations,Canonical SupplierCertificate record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-009,SupplierRiskAssessment,Material Receiving,Canonical SupplierRiskAssessment record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-010,SupplierPerformanceReview,Construction Logistics,Canonical SupplierPerformanceReview record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-011,SupplierScorecard,Rental Management,Canonical SupplierScorecard record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-012,SupplierPriceHistory,Catalog and Item Master,Canonical SupplierPriceHistory record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-013,ApprovedSupplier,Procure-to-Pay Integration,Canonical ApprovedSupplier record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-014,SupplierDiversityRecord,Supply Chain Analytics,Canonical SupplierDiversityRecord record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-015,SupplierBankChangeRequest,AI Procurement Intelligence,Canonical SupplierBankChangeRequest record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-016,SourcingEvent,Supply Chain Digital Twin,Canonical SourcingEvent record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-017,RFI,Procurement Planning,Canonical RFI record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-018,RFQ,Supplier Management,Canonical RFQ record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-019,RFP,Strategic Sourcing,Canonical RFP record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-020,BidInvitation,Purchase Requisitions,Canonical BidInvitation record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-021,SupplierBid,Purchase Orders,Canonical SupplierBid record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-022,BidLine,Subcontract Procurement,Canonical BidLine record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-023,BidClarification,Inventory Control,Canonical BidClarification record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-024,BidComparison,Warehouse Operations,Canonical BidComparison record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-025,NegotiationRound,Material Receiving,Canonical NegotiationRound record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-026,AwardRecommendation,Construction Logistics,Canonical AwardRecommendation record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-027,SourcingAward,Rental Management,Canonical SourcingAward record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-028,PurchaseRequisition,Catalog and Item Master,Canonical PurchaseRequisition record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-029,RequisitionLine,Procure-to-Pay Integration,Canonical RequisitionLine record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-030,RequisitionApproval,Supply Chain Analytics,Canonical RequisitionApproval record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-031,EmergencyPurchaseRequest,AI Procurement Intelligence,Canonical EmergencyPurchaseRequest record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-032,MaterialRequest,Supply Chain Digital Twin,Canonical MaterialRequest record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-033,RentalRequest,Procurement Planning,Canonical RentalRequest record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-034,ServiceRequest,Supplier Management,Canonical ServiceRequest record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-035,PurchaseOrder,Strategic Sourcing,Canonical PurchaseOrder record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-036,PurchaseOrderLine,Purchase Requisitions,Canonical PurchaseOrderLine record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-037,BlanketPurchaseOrder,Purchase Orders,Canonical BlanketPurchaseOrder record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-038,ReleaseOrder,Subcontract Procurement,Canonical ReleaseOrder record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-039,PurchaseOrderChange,Inventory Control,Canonical PurchaseOrderChange record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-040,PurchaseOrderApproval,Warehouse Operations,Canonical PurchaseOrderApproval record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-041,Commitment,Material Receiving,Canonical Commitment record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-042,SubcontractBidPackage,Construction Logistics,Canonical SubcontractBidPackage record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-043,SubcontractorBid,Rental Management,Canonical SubcontractorBid record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-044,SubcontractAward,Catalog and Item Master,Canonical SubcontractAward record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
P11-ENT-045,Subcontract,Procure-to-Pay Integration,Canonical Subcontract record governed by Phase 11.,"tenant_id, company_id, record_id, status, effective dates, audit fields",System of Record
