requirement_id,domain,verification,domain_status,unmet_conditions,met_conditions,gap
P26-REQ-001,Estimate Lifecycle,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-002,Estimate Versions,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-003,Estimate Templates,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,No template entity or instantiation path.
P26-REQ-004,Service Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The service library exists and is three-tier, but nothing selects a service for a scope; an estimator picks it."
P26-REQ-005,Assembly Expansion,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-006,Quantity Input,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-007,Quantity Takeoff Intake,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"Documents are ingested and classified by sheet, but nothing measures; there is no takeoff to intake."
P26-REQ-008,Labor Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-009,Labor Burden,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-010,Crew Composition,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-011,Crew Size Recommendation,not_verified,not_built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,"The bottleneck analysis names the controlling resource, but nothing recommends a crew size."
P26-REQ-012,Equipment Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Equipment and its rates exist; nothing recommends which machine suits an operation.
P26-REQ-013,Equipment Cost,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-014,Equipment Rate Selection,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-015,Fuel Consumption,verified,built,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,
P26-REQ-016,Truck Selection,not_verified,partial,,inputs; library snapshot/version; formulas/rules; units; output values; rounding; scenario behavior; overrides; audit lineage; mapped tests,Truck rates exist; nothing recommends a truck type for a haul.
