Entity_ID,Name,Domain,Purpose,Core_Attributes,Core_Constraints,Lifecycle,Owner,Classification
ENT-P03-001,Tenant,Foundation,Top-level data isolation and subscription boundary,tenant_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-002,Organization,Foundation,Operating organization within a tenant,organization_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-003,LegalEntity,Foundation,Registered company or legal business entity,legalentity_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-004,BusinessUnit,Foundation,"Operational division, branch, or department",businessunit_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-005,Location,Foundation,Reusable physical or virtual location,location_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-006,Project,Work & Delivery,Primary unit of planned and executed work,project_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-007,UserAccount,Foundation,Interactive platform identity,useraccount_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-008,Person,Party & Relationship,Natural person record,person_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-009,Team,Foundation,Named working group,team_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
ENT-P03-010,RoleDefinition,Foundation,Governed responsibility and permission role,roledefinition_id; tenant_id; version; status; created_at; updated_at,Tenant-scoped; effective-dated or versioned where applicable,active; inactive; archived,Enterprise Data Architecture,Varies by record classification
