Field ID,Entity,Field,Data Type,Required,Definition,Control
GES-P09-FLD-0001,Tenant Workforce Configuration,tenant_id,UUID,Yes,Tenant isolation key,Tenant configurable where permitted
GES-P09-FLD-0002,Tenant Workforce Configuration,id,UUID,Yes,Canonical record identifier,Tenant configurable where permitted
GES-P09-FLD-0003,Tenant Workforce Configuration,status,String,Yes,Lifecycle status,Tenant configurable where permitted
GES-P09-FLD-0004,Tenant Workforce Configuration,effective_start,DateTime,No,Effective period start,Tenant configurable where permitted
GES-P09-FLD-0005,Tenant Workforce Configuration,effective_end,DateTime,No,Effective period end,Tenant configurable where permitted
GES-P09-FLD-0006,Tenant Workforce Configuration,created_at,DateTime,Yes,Creation timestamp,Tenant configurable where permitted
GES-P09-FLD-0007,Tenant Workforce Configuration,created_by,UUID,Yes,Creating actor,Tenant configurable where permitted
GES-P09-FLD-0008,Tenant Workforce Configuration,updated_at,DateTime,Yes,Last update timestamp,Tenant configurable where permitted
GES-P09-FLD-0009,Tenant Workforce Configuration,updated_by,UUID,Yes,Updating actor,Tenant configurable where permitted
GES-P09-FLD-0010,Tenant Workforce Configuration,version,Integer,Yes,Optimistic concurrency version,Tenant configurable where permitted
GES-P09-FLD-0011,Tenant Workforce Configuration,source_system,String,No,Origin system,Tenant configurable where permitted
GES-P09-FLD-0012,Tenant Workforce Configuration,security_classification,String,Yes,Data sensitivity classification,Tenant configurable where permitted
GES-P09-FLD-0013,Legal Employer,tenant_id,UUID,Yes,Tenant isolation key,Tenant configurable where permitted
GES-P09-FLD-0014,Legal Employer,id,UUID,Yes,Canonical record identifier,Tenant configurable where permitted
GES-P09-FLD-0015,Legal Employer,status,String,Yes,Lifecycle status,Tenant configurable where permitted
GES-P09-FLD-0016,Legal Employer,effective_start,DateTime,No,Effective period start,Tenant configurable where permitted
GES-P09-FLD-0017,Legal Employer,effective_end,DateTime,No,Effective period end,Tenant configurable where permitted
GES-P09-FLD-0018,Legal Employer,created_at,DateTime,Yes,Creation timestamp,Tenant configurable where permitted
GES-P09-FLD-0019,Legal Employer,created_by,UUID,Yes,Creating actor,Tenant configurable where permitted
GES-P09-FLD-0020,Legal Employer,updated_at,DateTime,Yes,Last update timestamp,Tenant configurable where permitted
GES-P09-FLD-0021,Legal Employer,updated_by,UUID,Yes,Updating actor,Tenant configurable where permitted
GES-P09-FLD-0022,Legal Employer,version,Integer,Yes,Optimistic concurrency version,Tenant configurable where permitted
GES-P09-FLD-0023,Legal Employer,source_system,String,No,Origin system,Tenant configurable where permitted
GES-P09-FLD-0024,Legal Employer,security_classification,String,Yes,Data sensitivity classification,Tenant configurable where permitted
GES-P09-FLD-0025,Business Unit,tenant_id,UUID,Yes,Tenant isolation key,Tenant configurable where permitted
GES-P09-FLD-0026,Business Unit,id,UUID,Yes,Canonical record identifier,Tenant configurable where permitted
GES-P09-FLD-0027,Business Unit,status,String,Yes,Lifecycle status,Tenant configurable where permitted
GES-P09-FLD-0028,Business Unit,effective_start,DateTime,No,Effective period start,Tenant configurable where permitted
GES-P09-FLD-0029,Business Unit,effective_end,DateTime,No,Effective period end,Tenant configurable where permitted
GES-P09-FLD-0030,Business Unit,created_at,DateTime,Yes,Creation timestamp,Tenant configurable where permitted
GES-P09-FLD-0031,Business Unit,created_by,UUID,Yes,Creating actor,Tenant configurable where permitted
GES-P09-FLD-0032,Business Unit,updated_at,DateTime,Yes,Last update timestamp,Tenant configurable where permitted
GES-P09-FLD-0033,Business Unit,updated_by,UUID,Yes,Updating actor,Tenant configurable where permitted
GES-P09-FLD-0034,Business Unit,version,Integer,Yes,Optimistic concurrency version,Tenant configurable where permitted
GES-P09-FLD-0035,Business Unit,source_system,String,No,Origin system,Tenant configurable where permitted
GES-P09-FLD-0036,Business Unit,security_classification,String,Yes,Data sensitivity classification,Tenant configurable where permitted
GES-P09-FLD-0037,Department,tenant_id,UUID,Yes,Tenant isolation key,Tenant configurable where permitted
GES-P09-FLD-0038,Department,id,UUID,Yes,Canonical record identifier,Tenant configurable where permitted
GES-P09-FLD-0039,Department,status,String,Yes,Lifecycle status,Tenant configurable where permitted
GES-P09-FLD-0040,Department,effective_start,DateTime,No,Effective period start,Tenant configurable where permitted
GES-P09-FLD-0041,Department,effective_end,DateTime,No,Effective period end,Tenant configurable where permitted
GES-P09-FLD-0042,Department,created_at,DateTime,Yes,Creation timestamp,Tenant configurable where permitted
GES-P09-FLD-0043,Department,created_by,UUID,Yes,Creating actor,Tenant configurable where permitted
GES-P09-FLD-0044,Department,updated_at,DateTime,Yes,Last update timestamp,Tenant configurable where permitted
GES-P09-FLD-0045,Department,updated_by,UUID,Yes,Updating actor,Tenant configurable where permitted
GES-P09-FLD-0046,Department,version,Integer,Yes,Optimistic concurrency version,Tenant configurable where permitted
GES-P09-FLD-0047,Department,source_system,String,No,Origin system,Tenant configurable where permitted
GES-P09-FLD-0048,Department,security_classification,String,Yes,Data sensitivity classification,Tenant configurable where permitted
GES-P09-FLD-0049,Work Location,tenant_id,UUID,Yes,Tenant isolation key,Tenant configurable where permitted
GES-P09-FLD-0050,Work Location,id,UUID,Yes,Canonical record identifier,Tenant configurable where permitted
GES-P09-FLD-0051,Work Location,status,String,Yes,Lifecycle status,Tenant configurable where permitted
GES-P09-FLD-0052,Work Location,effective_start,DateTime,No,Effective period start,Tenant configurable where permitted
GES-P09-FLD-0053,Work Location,effective_end,DateTime,No,Effective period end,Tenant configurable where permitted
GES-P09-FLD-0054,Work Location,created_at,DateTime,Yes,Creation timestamp,Tenant configurable where permitted
GES-P09-FLD-0055,Work Location,created_by,UUID,Yes,Creating actor,Tenant configurable where permitted
