entity_id,name,domain,definition,key,governance
P17-ENT-001,MachineControlProject,Machine Control Core,Canonical machine-control/field-automation entity for MachineControlProject.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-002,MachineControlJob,GPS/GNSS Positioning,Canonical machine-control/field-automation entity for MachineControlJob.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-003,MachineControlFile,Localization & Calibration,Canonical machine-control/field-automation entity for MachineControlFile.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-004,MachineControlPackage,3D Models & Surfaces,Canonical machine-control/field-automation entity for MachineControlPackage.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-005,MachineControlRevision,2D Guidance,Canonical machine-control/field-automation entity for MachineControlRevision.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-006,MachineControlAssignment,3D Guidance,Canonical machine-control/field-automation entity for MachineControlAssignment.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-007,MachineControlStatus,Automatic Grade Control,Canonical machine-control/field-automation entity for MachineControlStatus.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-008,MachineControlApproval,Excavator Guidance,Canonical machine-control/field-automation entity for MachineControlApproval.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-009,DesignModel,Dozer Guidance,Canonical machine-control/field-automation entity for DesignModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-010,DesignModelVersion,Grader Guidance,Canonical machine-control/field-automation entity for DesignModelVersion.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-011,SurfaceModel,Compactor Guidance,Canonical machine-control/field-automation entity for SurfaceModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-012,SurfaceVersion,Loader & Material Handling,Canonical machine-control/field-automation entity for SurfaceVersion.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-013,AlignmentModel,Paver/Milling Guidance,Canonical machine-control/field-automation entity for AlignmentModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-014,AlignmentVersion,Trenching & Utilities,Canonical machine-control/field-automation entity for AlignmentVersion.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-015,CorridorModel,Road & Highway Machine Control,Canonical machine-control/field-automation entity for CorridorModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-016,CrossSectionModel,Site Models & Job Files,Canonical machine-control/field-automation entity for CrossSectionModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-017,ProfileModel,Field Data Sync,Canonical machine-control/field-automation entity for ProfileModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-018,LineworkModel,Machine Telemetry Integration,Canonical machine-control/field-automation entity for LineworkModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-019,SlopeModel,Operator Interface,Canonical machine-control/field-automation entity for SlopeModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-020,UtilityModel,Safety & Exclusion Controls,Canonical machine-control/field-automation entity for UtilityModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-021,PipeModel,Design Change Management,Canonical machine-control/field-automation entity for PipeModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-022,TrenchModel,As-Built & Production Capture,Canonical machine-control/field-automation entity for TrenchModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-023,PavingModel,Quality Assurance,Canonical machine-control/field-automation entity for PavingModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-024,MillingModel,Field Automation,Canonical machine-control/field-automation entity for MillingModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-025,CompactionModel,Remote Support & Diagnostics,Canonical machine-control/field-automation entity for CompactionModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-026,Localization,Device & Firmware Management,Canonical machine-control/field-automation entity for Localization.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-027,LocalizationVersion,Vendor/Platform Interoperability,Canonical machine-control/field-automation entity for LocalizationVersion.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-028,Calibration,AI Machine Intelligence,Canonical machine-control/field-automation entity for Calibration.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-029,CalibrationPoint,Machine Control Digital Twin,Canonical machine-control/field-automation entity for CalibrationPoint.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-030,CalibrationResidual,Machine Control Core,Canonical machine-control/field-automation entity for CalibrationResidual.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-031,LocalizationCheck,GPS/GNSS Positioning,Canonical machine-control/field-automation entity for LocalizationCheck.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-032,ControlPointReference,Localization & Calibration,Canonical machine-control/field-automation entity for ControlPointReference.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-033,BenchmarkReference,3D Models & Surfaces,Canonical machine-control/field-automation entity for BenchmarkReference.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-034,CRSReference,2D Guidance,Canonical machine-control/field-automation entity for CRSReference.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-035,DatumReference,3D Guidance,Canonical machine-control/field-automation entity for DatumReference.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-036,GeoidReference,Automatic Grade Control,Canonical machine-control/field-automation entity for GeoidReference.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-037,CoordinateTransformReference,Excavator Guidance,Canonical machine-control/field-automation entity for CoordinateTransformReference.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-038,Machine,Dozer Guidance,Canonical machine-control/field-automation entity for Machine.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-039,MachineClass,Grader Guidance,Canonical machine-control/field-automation entity for MachineClass.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-040,MachineModel,Compactor Guidance,Canonical machine-control/field-automation entity for MachineModel.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-041,MachineAttachment,Loader & Material Handling,Canonical machine-control/field-automation entity for MachineAttachment.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-042,ControlSystem,Paver/Milling Guidance,Canonical machine-control/field-automation entity for ControlSystem.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-043,Display,Trenching & Utilities,Canonical machine-control/field-automation entity for Display.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-044,Controller,Road & Highway Machine Control,Canonical machine-control/field-automation entity for Controller.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-045,GNSSReceiver,Site Models & Job Files,Canonical machine-control/field-automation entity for GNSSReceiver.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
P17-ENT-046,GNSSAntenna,Field Data Sync,Canonical machine-control/field-automation entity for GNSSAntenna.,tenant_id + record_id,Project/machine scoped; revision-aware; audited; safety/quality governed
