entity_id,name,domain,definition,key,governance
P18-ENT-001,Schedule,Enterprise Scheduling Core,Canonical scheduling/resource-planning entity for Schedule.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-002,ScheduleVersion,CPM Scheduling,Canonical scheduling/resource-planning entity for ScheduleVersion.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-003,ScheduleBaseline,Work Breakdown Structure,Canonical scheduling/resource-planning entity for ScheduleBaseline.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-004,ScheduleUpdate,Calendars & Shifts,Canonical scheduling/resource-planning entity for ScheduleUpdate.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-005,ScheduleStatusDate,Resource Planning,Canonical scheduling/resource-planning entity for ScheduleStatusDate.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-006,ScheduleCalendar,Resource Loading,Canonical scheduling/resource-planning entity for ScheduleCalendar.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-007,CalendarException,Resource Leveling,Canonical scheduling/resource-planning entity for CalendarException.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-008,Shift,Crew Planning,Canonical scheduling/resource-planning entity for Shift.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-009,HolidayCalendar,Equipment Planning,Canonical scheduling/resource-planning entity for HolidayCalendar.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-010,WeatherCalendar,Truck & Haul Planning,Canonical scheduling/resource-planning entity for WeatherCalendar.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-011,WBS,Material Planning,Canonical scheduling/resource-planning entity for WBS.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-012,WBSNode,Subcontractor Planning,Canonical scheduling/resource-planning entity for WBSNode.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-013,WorkPackage,Look-Ahead Planning,Canonical scheduling/resource-planning entity for WorkPackage.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-014,Activity,Last Planner & Commitments,Canonical scheduling/resource-planning entity for Activity.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-015,ActivityCode,Pull Planning,Canonical scheduling/resource-planning entity for ActivityCode.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
P18-ENT-016,ActivityType,Milestones & Contract Dates,Canonical scheduling/resource-planning entity for ActivityType.,tenant_id + record_id,Versioned; project/portfolio scoped; audited; cross-phase references governed
