Source_ID,Source_Type,Target_ID,Target_Type,Relationship,Status
ENT-P03-001,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-002,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-003,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-004,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-005,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-006,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-007,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-008,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-009,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-010,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-011,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-012,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-013,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-014,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-015,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-016,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-017,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-018,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-019,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-020,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-021,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-022,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-023,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-024,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-025,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-026,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-027,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-028,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-029,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-030,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-031,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-032,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-033,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-034,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-035,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-036,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-037,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-038,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-039,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-040,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-041,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-042,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-043,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-044,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-045,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-046,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-047,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-048,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-049,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-050,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-051,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-052,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-053,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-054,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-055,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-056,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-057,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-058,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-059,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-060,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-061,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-062,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-063,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-064,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-065,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-066,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-067,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-068,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-069,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-070,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-071,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-072,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-073,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-074,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-075,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-076,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-077,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-078,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-079,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-080,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-081,Entity,GES-P03-001,Specification,Defined by,Review
ENT-P03-082,Entity,GES-P03-001,Specification,Defined by,Review
