Source_ID,Source_Type,Target_ID,Target_Type,Relationship,Status
CPF-000001,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000002,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000003,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000004,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000005,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000006,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000007,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000008,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000009,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000010,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000011,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000012,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000013,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000014,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000015,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000016,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000017,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000018,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000019,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000020,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000021,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000022,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000023,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000024,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000025,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000026,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000027,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000028,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000029,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000030,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000031,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000032,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000033,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000034,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000035,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000036,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000037,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000038,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000039,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000040,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000041,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000042,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000043,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000044,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000045,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000046,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000047,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000048,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000049,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000050,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000051,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000052,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000053,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000054,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000055,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000056,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000057,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000058,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000059,Requirement,GES-P02-001,Specification,Defined by,Review
CPF-000060,Requirement,GES-P02-001,Specification,Defined by,Review
