engine_id,name,type,purpose,governance
P13-ENG-001,Semantic Metrics Engine,Deterministic,"Provides semantic metrics engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-002,KPI Calculation Engine,Deterministic,"Provides kpi calculation engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-003,Scorecard Engine,Deterministic,"Provides scorecard engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-004,Data Ingestion Engine,Deterministic,"Provides data ingestion engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-005,Data Quality Engine,Deterministic,"Provides data quality engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-006,Lineage Engine,Deterministic,"Provides lineage engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-007,Freshness Monitor,Deterministic,"Provides freshness monitor with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-008,Entitlement Engine,Deterministic,"Provides entitlement engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-009,Dashboard Query Engine,Deterministic,"Provides dashboard query engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-010,Report Distribution Engine,Deterministic,"Provides report distribution engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-011,Alerting Engine,Deterministic,"Provides alerting engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-012,Anomaly Detection Engine,AI-assisted,"Provides anomaly detection engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-013,Forecasting Engine,AI-assisted,"Provides forecasting engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-014,Scenario Engine,AI-assisted,"Provides scenario engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-015,Sensitivity Engine,AI-assisted,"Provides sensitivity engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-016,Root Cause Assistant,AI-assisted,"Provides root cause assistant with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-017,Executive Narrative Engine,AI-assisted,"Provides executive narrative engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-018,Recommendation Engine,AI-assisted,"Provides recommendation engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-019,Confidence Engine,AI-assisted,"Provides confidence engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-020,Evidence Retrieval Engine,AI-assisted,"Provides evidence retrieval engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-021,Portfolio Health Engine,AI-assisted,"Provides portfolio health engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-022,Project Health Engine,AI-assisted,"Provides project health engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-023,Financial Intelligence Engine,AI-assisted,"Provides financial intelligence engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-024,Workforce Intelligence Engine,AI-assisted,"Provides workforce intelligence engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-025,Fleet Intelligence Engine,AI-assisted,"Provides fleet intelligence engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-026,Procurement Intelligence Engine,AI-assisted,"Provides procurement intelligence engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-027,CRM Intelligence Engine,AI-assisted,"Provides crm intelligence engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-028,Estimating Intelligence Engine,AI-assisted,"Provides estimating intelligence engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-029,Safety Intelligence Engine,AI-assisted,"Provides safety intelligence engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-030,Quality Intelligence Engine,AI-assisted,"Provides quality intelligence engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-031,Benchmarking Engine,AI-assisted,"Provides benchmarking engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-032,Forecast Accuracy Engine,AI-assisted,"Provides forecast accuracy engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-033,Adoption Analytics Engine,AI-assisted,"Provides adoption analytics engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-034,Decision Outcome Engine,AI-assisted,"Provides decision outcome engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
P13-ENG-035,Enterprise Digital Twin Engine,AI-assisted,"Provides enterprise digital twin engine with governed inputs, reproducible outputs, audit trail and human controls.",Human approval required for consequential recommendations
