engine_id,name,type,purpose,governance
P19-ENG-001,Contract Version Engine,Deterministic,"Provides contract version engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-002,Clause Registry Engine,Deterministic,"Provides clause registry engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-003,Obligation Engine,Deterministic,"Provides obligation engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-004,Deadline/Notice Engine,Deterministic,"Provides deadline/notice engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-005,Notice Escalation Engine,Deterministic,"Provides notice escalation engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-006,Contract Authority Engine,Deterministic,"Provides contract authority engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-007,Approval Matrix Engine,Deterministic,"Provides approval matrix engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-008,Potential Change Engine,Deterministic,"Provides potential change engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-009,Change Classification Engine,Deterministic,"Provides change classification engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-010,Change Pricing Engine,Deterministic,"Provides change pricing engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-011,Labor Pricing Engine,Deterministic,"Provides labor pricing engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-012,Equipment Pricing Engine,Deterministic,"Provides equipment pricing engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-013,Material Pricing Engine,Deterministic,"Provides material pricing engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-014,Subcontract Pricing Engine,Deterministic,"Provides subcontract pricing engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-015,Trucking Pricing Engine,Deterministic,"Provides trucking pricing engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-016,Burden/Markup Engine,Deterministic,"Provides burden/markup engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-017,Tax/Bond Engine,Deterministic,"Provides tax/bond engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-018,T&M Reconciliation Engine,Deterministic,"Provides t&m reconciliation engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-019,Force Account Engine,Deterministic,"Provides force account engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-020,NTE Control Engine,Deterministic,"Provides nte control engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-021,Contract Value Engine,Deterministic,"Provides contract value engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-022,Pending Change Forecast Engine,Deterministic,"Provides pending change forecast engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-023,Commercial Exposure Engine,Deterministic,"Provides commercial exposure engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-024,Claim Chronology Engine,Deterministic,"Provides claim chronology engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-025,Claim Cost Engine,Deterministic,"Provides claim cost engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-026,Claim Time Engine,Deterministic,"Provides claim time engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-027,Delay Evidence Link Engine,Deterministic,"Provides delay evidence link engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-028,Disruption Evidence Engine,Deterministic,"Provides disruption evidence engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-029,Acceleration Cost Engine,Deterministic,"Provides acceleration cost engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-030,Differing Site Condition Engine,Deterministic,"Provides differing site condition engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-031,Scope Change Trace Engine,Deterministic,"Provides scope change trace engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-032,Payment Application Engine,Deterministic,"Provides payment application engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-033,Retainage Engine,Deterministic,"Provides retainage engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-034,Backcharge Engine,Deterministic,"Provides backcharge engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-035,Allowance Engine,Deterministic,"Provides allowance engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-036,Contingency Engine,Deterministic,"Provides contingency engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-037,Price Adjustment Engine,Deterministic,"Provides price adjustment engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-038,Escalation Index Engine,Deterministic,"Provides escalation index engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-039,Insurance/Bond Compliance Engine,Deterministic,"Provides insurance/bond compliance engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-040,Lien/Waiver Engine,Deterministic,"Provides lien/waiver engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-041,Commercial Forecast Engine,Deterministic,"Provides commercial forecast engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-042,Margin-at-Completion Engine,Deterministic,"Provides margin-at-completion engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-043,Settlement Authority Engine,Deterministic,"Provides settlement authority engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-044,Commercial Closeout Engine,Deterministic,"Provides commercial closeout engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-045,Commercial KPI Engine,Deterministic,"Provides commercial kpi engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-046,Clause Extraction Engine,AI-assisted,"Provides clause extraction engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-047,AI Notice Finding Engine,AI-assisted,"Provides ai notice finding engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-048,AI Change Classification Engine,AI-assisted,"Provides ai change classification engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-049,AI Backup Review Engine,AI-assisted,"Provides ai backup review engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-050,AI Commercial Risk Engine,AI-assisted,"Provides ai commercial risk engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-051,Evidence Retrieval Engine,AI-assisted,"Provides evidence retrieval engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-052,AI Confidence Engine,AI-assisted,"Provides ai confidence engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
P19-ENG-053,Commercial Digital Twin Engine,AI-assisted,"Provides commercial digital twin engine using governed contract, cost, schedule, document and approval evidence.","AI cannot make legal conclusions, waive rights, send binding notices, approve commercial commitments, or settle claims without authorized human action"
