requirement_id,test_id,phase23_component,phase24_module,status
P24-REQ-001,P24-TST-001,P23-COMP-001,P24-MOD-001,Mapped
P24-REQ-002,P24-TST-002,P23-COMP-002,P24-MOD-002,Mapped
P24-REQ-003,P24-TST-003,P23-COMP-003,P24-MOD-003,Mapped
P24-REQ-004,P24-TST-004,P23-COMP-004,P24-MOD-004,Mapped
P24-REQ-005,P24-TST-005,P23-COMP-005,P24-MOD-005,Mapped
P24-REQ-006,P24-TST-006,P23-COMP-006,P24-MOD-006,Mapped
P24-REQ-007,P24-TST-007,P23-COMP-007,P24-MOD-007,Mapped
P24-REQ-008,P24-TST-008,P23-COMP-008,P24-MOD-008,Mapped
P24-REQ-009,P24-TST-009,P23-COMP-009,P24-MOD-009,Mapped
P24-REQ-010,P24-TST-010,P23-COMP-010,P24-MOD-010,Mapped
P24-REQ-011,P24-TST-011,P23-COMP-011,P24-MOD-011,Mapped
P24-REQ-012,P24-TST-012,P23-COMP-012,P24-MOD-012,Mapped
P24-REQ-013,P24-TST-013,P23-COMP-001,P24-MOD-013,Mapped
P24-REQ-014,P24-TST-014,P23-COMP-002,P24-MOD-014,Mapped
P24-REQ-015,P24-TST-015,P23-COMP-003,P24-MOD-015,Mapped
P24-REQ-016,P24-TST-016,P23-COMP-004,P24-MOD-016,Mapped
P24-REQ-017,P24-TST-017,P23-COMP-005,P24-MOD-017,Mapped
P24-REQ-018,P24-TST-018,P23-COMP-006,P24-MOD-018,Mapped
P24-REQ-019,P24-TST-019,P23-COMP-007,P24-MOD-001,Mapped
P24-REQ-020,P24-TST-020,P23-COMP-008,P24-MOD-002,Mapped
P24-REQ-021,P24-TST-021,P23-COMP-009,P24-MOD-003,Mapped
P24-REQ-022,P24-TST-022,P23-COMP-010,P24-MOD-004,Mapped
P24-REQ-023,P24-TST-023,P23-COMP-011,P24-MOD-005,Mapped
P24-REQ-024,P24-TST-024,P23-COMP-012,P24-MOD-006,Mapped
P24-REQ-025,P24-TST-025,P23-COMP-001,P24-MOD-007,Mapped
P24-REQ-026,P24-TST-026,P23-COMP-002,P24-MOD-008,Mapped
P24-REQ-027,P24-TST-027,P23-COMP-003,P24-MOD-009,Mapped
P24-REQ-028,P24-TST-028,P23-COMP-004,P24-MOD-010,Mapped
P24-REQ-029,P24-TST-029,P23-COMP-005,P24-MOD-011,Mapped
P24-REQ-030,P24-TST-030,P23-COMP-006,P24-MOD-012,Mapped
P24-REQ-031,P24-TST-031,P23-COMP-007,P24-MOD-013,Mapped
P24-REQ-032,P24-TST-032,P23-COMP-008,P24-MOD-014,Mapped
P24-REQ-033,P24-TST-033,P23-COMP-009,P24-MOD-015,Mapped
P24-REQ-034,P24-TST-034,P23-COMP-010,P24-MOD-016,Mapped
P24-REQ-035,P24-TST-035,P23-COMP-011,P24-MOD-017,Mapped
P24-REQ-036,P24-TST-036,P23-COMP-012,P24-MOD-018,Mapped
P24-REQ-037,P24-TST-037,P23-COMP-001,P24-MOD-001,Mapped
P24-REQ-038,P24-TST-038,P23-COMP-002,P24-MOD-002,Mapped
P24-REQ-039,P24-TST-039,P23-COMP-003,P24-MOD-003,Mapped
P24-REQ-040,P24-TST-040,P23-COMP-004,P24-MOD-004,Mapped
P24-REQ-041,P24-TST-041,P23-COMP-005,P24-MOD-005,Mapped
P24-REQ-042,P24-TST-042,P23-COMP-006,P24-MOD-006,Mapped
P24-REQ-043,P24-TST-043,P23-COMP-007,P24-MOD-007,Mapped
P24-REQ-044,P24-TST-044,P23-COMP-008,P24-MOD-008,Mapped
P24-REQ-045,P24-TST-045,P23-COMP-009,P24-MOD-009,Mapped
P24-REQ-046,P24-TST-046,P23-COMP-010,P24-MOD-010,Mapped
P24-REQ-047,P24-TST-047,P23-COMP-011,P24-MOD-011,Mapped
P24-REQ-048,P24-TST-048,P23-COMP-012,P24-MOD-012,Mapped
P24-REQ-049,P24-TST-049,P23-COMP-001,P24-MOD-013,Mapped
P24-REQ-050,P24-TST-050,P23-COMP-002,P24-MOD-014,Mapped
P24-REQ-051,P24-TST-051,P23-COMP-003,P24-MOD-015,Mapped
P24-REQ-052,P24-TST-052,P23-COMP-004,P24-MOD-016,Mapped
P24-REQ-053,P24-TST-053,P23-COMP-005,P24-MOD-017,Mapped
P24-REQ-054,P24-TST-054,P23-COMP-006,P24-MOD-018,Mapped
P24-REQ-055,P24-TST-055,P23-COMP-007,P24-MOD-001,Mapped
P24-REQ-056,P24-TST-056,P23-COMP-008,P24-MOD-002,Mapped
P24-REQ-057,P24-TST-057,P23-COMP-009,P24-MOD-003,Mapped
P24-REQ-058,P24-TST-058,P23-COMP-010,P24-MOD-004,Mapped
P24-REQ-059,P24-TST-059,P23-COMP-011,P24-MOD-005,Mapped
P24-REQ-060,P24-TST-060,P23-COMP-012,P24-MOD-006,Mapped
P24-REQ-061,P24-TST-061,P23-COMP-001,P24-MOD-007,Mapped
P24-REQ-062,P24-TST-062,P23-COMP-002,P24-MOD-008,Mapped
P24-REQ-063,P24-TST-063,P23-COMP-003,P24-MOD-009,Mapped
P24-REQ-064,P24-TST-064,P23-COMP-004,P24-MOD-010,Mapped
P24-REQ-065,P24-TST-065,P23-COMP-005,P24-MOD-011,Mapped
P24-REQ-066,P24-TST-066,P23-COMP-006,P24-MOD-012,Mapped
P24-REQ-067,P24-TST-067,P23-COMP-007,P24-MOD-013,Mapped
P24-REQ-068,P24-TST-068,P23-COMP-008,P24-MOD-014,Mapped
P24-REQ-069,P24-TST-069,P23-COMP-009,P24-MOD-015,Mapped
P24-REQ-070,P24-TST-070,P23-COMP-010,P24-MOD-016,Mapped
P24-REQ-071,P24-TST-071,P23-COMP-011,P24-MOD-017,Mapped
P24-REQ-072,P24-TST-072,P23-COMP-012,P24-MOD-018,Mapped
P24-REQ-073,P24-TST-073,P23-COMP-001,P24-MOD-001,Mapped
P24-REQ-074,P24-TST-074,P23-COMP-002,P24-MOD-002,Mapped
P24-REQ-075,P24-TST-075,P23-COMP-003,P24-MOD-003,Mapped
P24-REQ-076,P24-TST-076,P23-COMP-004,P24-MOD-004,Mapped
P24-REQ-077,P24-TST-077,P23-COMP-005,P24-MOD-005,Mapped
P24-REQ-078,P24-TST-078,P23-COMP-006,P24-MOD-006,Mapped
P24-REQ-079,P24-TST-079,P23-COMP-007,P24-MOD-007,Mapped
P24-REQ-080,P24-TST-080,P23-COMP-008,P24-MOD-008,Mapped
P24-REQ-081,P24-TST-081,P23-COMP-009,P24-MOD-009,Mapped
P24-REQ-082,P24-TST-082,P23-COMP-010,P24-MOD-010,Mapped
P24-REQ-083,P24-TST-083,P23-COMP-011,P24-MOD-011,Mapped
P24-REQ-084,P24-TST-084,P23-COMP-012,P24-MOD-012,Mapped
P24-REQ-085,P24-TST-085,P23-COMP-001,P24-MOD-013,Mapped
P24-REQ-086,P24-TST-086,P23-COMP-002,P24-MOD-014,Mapped
P24-REQ-087,P24-TST-087,P23-COMP-003,P24-MOD-015,Mapped
P24-REQ-088,P24-TST-088,P23-COMP-004,P24-MOD-016,Mapped
P24-REQ-089,P24-TST-089,P23-COMP-005,P24-MOD-017,Mapped
P24-REQ-090,P24-TST-090,P23-COMP-006,P24-MOD-018,Mapped
P24-REQ-091,P24-TST-091,P23-COMP-007,P24-MOD-001,Mapped
P24-REQ-092,P24-TST-092,P23-COMP-008,P24-MOD-002,Mapped
P24-REQ-093,P24-TST-093,P23-COMP-009,P24-MOD-003,Mapped
P24-REQ-094,P24-TST-094,P23-COMP-010,P24-MOD-004,Mapped
P24-REQ-095,P24-TST-095,P23-COMP-011,P24-MOD-005,Mapped
P24-REQ-096,P24-TST-096,P23-COMP-012,P24-MOD-006,Mapped
P24-REQ-097,P24-TST-097,P23-COMP-001,P24-MOD-007,Mapped
P24-REQ-098,P24-TST-098,P23-COMP-002,P24-MOD-008,Mapped
P24-REQ-099,P24-TST-099,P23-COMP-003,P24-MOD-009,Mapped
P24-REQ-100,P24-TST-100,P23-COMP-004,P24-MOD-010,Mapped
P24-REQ-101,P24-TST-101,P23-COMP-005,P24-MOD-011,Mapped
P24-REQ-102,P24-TST-102,P23-COMP-006,P24-MOD-012,Mapped
P24-REQ-103,P24-TST-103,P23-COMP-007,P24-MOD-013,Mapped
P24-REQ-104,P24-TST-104,P23-COMP-008,P24-MOD-014,Mapped
P24-REQ-105,P24-TST-105,P23-COMP-009,P24-MOD-015,Mapped
P24-REQ-106,P24-TST-106,P23-COMP-010,P24-MOD-016,Mapped
P24-REQ-107,P24-TST-107,P23-COMP-011,P24-MOD-017,Mapped
P24-REQ-108,P24-TST-108,P23-COMP-012,P24-MOD-018,Mapped
P24-REQ-109,P24-TST-109,P23-COMP-001,P24-MOD-001,Mapped
